task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,1,1,0.0,0.368,368.0007,368.0007,363.4205,280.1628,0.0022,3.8106,4.5803,1775515123521802812,0
ecgclass,1,1,0.3681,0.4001,32.0399,32.0399,21.0119,20.1593,0.0012,10.6127,11.028,1775515123896617599,0
ecgclass,1,1,0.4001,0.4991,99.0393,99.0393,91.1298,90.3908,0.0012,7.4215,7.9095,1775515123925472924,0
ecgclass,1,1,0.4992,0.5982,99.0164,99.0164,96.0401,95.313,0.0018,2.3351,2.9763,1775515124019434543,0
ecgclass,1,1,0.5982,0.6966,98.4199,98.4199,93.4111,92.5553,0.0013,4.5691,5.0089,1775515124120695588,0
ecgclass,1,1,0.6966,0.7965,99.9377,99.9377,90.7094,89.8536,0.0013,8.7359,9.2282,1775515124223292631,0
ecgclass,1,1,0.7966,0.8951,98.5739,98.5739,91.0635,90.4137,0.0014,7.0605,7.5105,1775515124321565137,0
ecgclass,1,1,0.8951,0.9937,98.5892,98.5892,92.2669,91.5794,0.001,5.8699,6.3222,1775515124418958715,0
ecgclass,1,1,0.9937,1.0928,99.0353,99.0353,90.6308,89.9434,0.0013,7.8852,8.4045,1775515124519574482,0
ecgclass,1,1,1.0928,1.192,99.2424,99.2424,93.1291,92.4555,0.0011,5.6636,6.1133,1775515124616399125,0
ecgclass,1,1,1.192,1.2908,98.7852,98.7852,92.3451,91.7271,0.001,5.991,6.4401,1775515124715978067,0
ecgclass,1,1,1.2908,1.3896,98.7902,98.7902,92.1683,91.4573,0.0014,6.1252,6.6219,1775515124814906401,0
ecgclass,1,1,1.3896,1.49,100.415,100.415,94.8949,93.7518,0.0024,4.8356,5.5201,1775515124912416023,0
ecgclass,1,1,1.4901,1.5888,98.7294,98.7294,92.0913,91.3072,0.002,5.9602,6.638,1775515125013967042,0
ecgclass,1,1,1.5888,1.688,99.2253,99.2253,93.8169,93.0335,0.0024,4.7593,5.4084,1775515125111507425,0
ecgclass,1,1,1.688,1.7882,100.1179,100.1179,90.2539,89.4687,0.0021,9.2335,9.864,1775515125215217937,0
ecgclass,1,1,1.7882,1.8864,98.2769,98.2769,89.2823,88.4238,0.0014,8.517,8.9946,1775515125314630883,0
ecgclass,1,1,1.8865,1.9849,98.4316,98.4316,90.7494,89.9491,0.0014,7.195,7.6822,1775515125411597181,0
ecgclass,1,1,1.9849,2.0839,99.0036,99.0036,89.0514,88.3882,0.0014,9.4457,9.9522,1775515125512292052,0
ecgclass,1,1,2.0839,2.184,100.0826,100.0826,91.6899,90.8017,0.0017,7.823,8.3927,1775515125609682769,0
ecgclass,1,1,2.184,2.2826,98.5768,98.5768,93.3811,92.5034,0.0018,4.6821,5.1957,1775515125706635847,0
ecgclass,1,1,2.2826,2.3814,98.8109,98.8109,91.0994,90.308,0.0012,7.2572,7.7115,1775515125807797869,0
ecgclass,1,1,2.3814,2.4806,99.2322,99.2322,94.2357,93.6148,0.0013,4.5879,4.9965,1775515125903949562,0
ecgclass,1,1,2.4807,2.5795,98.8426,98.8426,89.4666,88.714,0.0012,8.8861,9.376,1775515126007488997,0
ecgclass,1,1,2.5795,2.6793,99.8003,99.8003,93.3144,92.4738,0.0021,5.8932,6.4859,1775515126103348177,0
ecgclass,1,1,2.6793,2.7778,98.4669,98.4669,90.1887,89.4787,0.0013,7.7989,8.2781,1775515126205064733,0
ecgclass,1,1,2.7778,2.8768,99.0362,99.0362,93.3038,92.6655,0.0011,5.285,5.7324,1775515126301028188,0
ecgclass,1,1,2.8768,2.9757,98.86,98.86,93.6371,92.9595,0.0011,4.7929,5.2229,1775515126399581076,0
ecgclass,1,1,2.9757,3.0746,98.8858,98.8858,92.5202,91.7311,0.0011,5.9369,6.3655,1775515126499593987,0
ecgclass,1,1,3.0746,3.1749,100.316,100.316,94.4492,93.6557,0.0022,5.2004,5.8668,1775515126597752227,0
ecgclass,1,1,3.1749,3.2742,99.2799,99.2799,88.6412,87.725,0.0026,10.0162,10.6387,1775515126702896282,0
ecgclass,1,1,3.2742,3.3726,98.3448,98.3448,89.409,88.6875,0.0013,8.482,8.9358,1775515126800653845,0
ecgclass,1,1,3.3726,3.471,98.4547,98.4547,95.5995,94.6369,0.001,2.4326,2.8552,1775515126892958121,0
ecgclass,1,1,3.471,3.5702,99.1898,99.1898,94.9831,94.303,0.002,3.7098,4.2067,1775515126992697771,0
ecgclass,1,1,3.5702,3.669,98.7294,98.7294,92.8886,92.1529,0.0016,5.3067,5.8408,1775515127093494436,0
ecgclass,1,1,3.669,3.7686,99.5846,99.5846,91.2026,90.4151,0.0021,7.7758,8.3819,1775515127194702219,0
ecgclass,1,1,3.7686,3.8676,99.0748,99.0748,89.786,89.0885,0.0013,8.8508,9.2888,1775515127295373079,0
ecgclass,1,1,3.8677,3.9657,98.0089,98.0089,95.2983,94.6638,0.0011,2.2898,2.7106,1775515127387897654,0
ecgclass,1,1,3.9657,4.0646,98.9416,98.9416,93.8002,93.0686,0.0012,4.7035,5.1414,1775515127488329124,0
ecgclass,1,1,4.0646,4.1637,99.0386,99.0386,94.3058,93.6679,0.0011,4.2655,4.7328,1775515127586841560,0
ecgclass,1,1,4.1637,4.2632,99.4861,99.4861,95.2263,94.5461,0.0011,3.7727,4.2598,1775515127685395998,0
ecgclass,1,1,4.2632,4.362,98.8097,98.8097,90.2807,89.5102,0.0011,8.0948,8.529,1775515127789214275,0
ecgclass,1,1,4.362,4.4624,100.4093,100.4093,93.611,92.1971,0.0024,6.1169,6.7983,1775515127886054808,0
ecgclass,1,1,4.4624,4.5615,99.0446,99.0446,90.2982,89.5393,0.0015,8.2767,8.7464,1775515127988636731,0
ecgclass,1,1,4.5615,4.6594,97.9404,97.9404,92.3969,91.7203,0.0011,5.1386,5.5435,1775515128084553844,0
ecgclass,1,1,4.6594,4.7599,100.5177,100.5177,95.1825,94.4252,0.002,4.6985,5.3353,1775515128182063617,0
ecgclass,1,1,4.7599,4.8581,98.186,98.186,90.6452,89.8312,0.0013,7.0248,7.5408,1775515128284919081,0
ecgclass,1,1,4.8581,4.9567,98.5575,98.5575,88.8982,88.1546,0.0011,9.2325,9.6593,1775515128385323169,0
ecgclass,1,1,4.9567,5.0563,99.5512,99.5512,93.2201,92.5577,0.0017,5.7473,6.3311,1775515128480404706,0
ecgclass,1,1,5.0563,5.1548,98.5479,98.5479,93.0345,92.2672,0.001,5.0445,5.5134,1775515128579263087,0
ecgclass,1,1,5.1548,5.2537,98.846,98.846,93.9823,93.3172,0.0011,4.4632,4.8637,1775515128677238596,0
ecgclass,1,1,5.2537,5.3521,98.4569,98.4569,91.2619,90.6354,0.0012,6.7322,7.195,1775515128778362403,0
ecgclass,1,1,5.3521,5.4509,98.7358,98.7358,92.1806,91.5135,0.001,6.144,6.5552,1775515128876240774,0
ecgclass,1,1,5.4509,5.5508,99.947,99.947,89.0372,88.1677,0.0021,10.2372,10.9098,1775515128979077933,0
ecgclass,1,1,5.5509,5.6504,99.5955,99.5955,93.1268,92.3445,0.0026,5.7409,6.4687,1775515129074539423,0
