task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,30.0,257,32.125,711.93,699.382,991.871,1077.416,99.332,96.755,0.003,0.618,611.914,0.0,612.598
gestureclass,fifo,50.0,379,47.375,6160.584,6690.433,7173.989,7228.45,96.514,94.958,0.004,0.288,6063.372,0.0,6064.07
