task,send_time_s,latency_ms
ecgclass,0.0001,391.373
ecgclass,0.0806,405.712
ecgclass,0.1587,327.732
ecgclass,0.2386,247.834
ecgclass,0.2489,323.008
ecgclass,0.2502,321.718
ecgclass,0.2991,272.844
ecgclass,0.3462,330.064
ecgclass,0.4504,225.856
ecgclass,0.4538,222.513
ecgclass,0.4876,285.290
ecgclass,0.4899,282.992
ecgclass,0.5260,246.857
ecgclass,0.5838,287.514
ecgclass,0.5981,273.230
ecgclass,0.6375,233.799
ecgclass,0.6431,329.426
ecgclass,0.6455,327.040
ecgclass,0.6568,315.668
ecgclass,0.6864,382.455
ecgclass,0.7003,368.573
ecgclass,0.7416,327.292
ecgclass,0.7495,423.320
ecgclass,0.8104,362.473
ecgclass,0.8519,320.897
ecgclass,0.8735,398.909
ecgclass,0.8880,384.426
ecgclass,0.9024,370.028
ecgclass,0.9048,465.168
ecgclass,0.9113,458.735
ecgclass,0.9337,436.347
ecgclass,0.9473,527.242
ecgclass,0.9884,486.220
ecgclass,1.0120,462.577
ecgclass,1.0205,552.695
ecgclass,1.0360,537.266
ecgclass,1.0574,515.879
ecgclass,1.0687,598.634
ecgclass,1.0793,587.950
ecgclass,1.1087,558.659
ecgclass,1.1191,652.632
ecgclass,1.1627,608.965
ecgclass,1.2108,560.958
ecgclass,1.2457,623.723
ecgclass,1.2481,621.336
ecgclass,1.2860,583.415
ecgclass,1.3306,636.361
ecgclass,1.3680,599.006
ecgclass,1.3772,589.870
ecgclass,1.3886,682.942
ecgclass,1.3941,677.520
ecgclass,1.4055,666.078
ecgclass,1.4059,761.785
ecgclass,1.4119,755.792
ecgclass,1.4557,712.025
ecgclass,1.5894,675.736
ecgclass,1.6088,656.346
ecgclass,1.6173,647.873
ecgclass,1.6310,738.625
ecgclass,1.6425,727.211
ecgclass,1.6471,722.636
ecgclass,1.6825,783.502
ecgclass,1.7289,737.101
ecgclass,1.7789,687.148
ecgclass,1.9574,602.901
ecgclass,2.0260,534.355
ecgclass,2.0818,478.620
ecgclass,2.1156,548.212
ecgclass,2.1360,527.852
ecgclass,2.1373,526.507
ecgclass,2.1688,591.567
ecgclass,2.2397,520.708
ecgclass,2.1894,571.048
ecgclass,2.3078,556.217
ecgclass,2.3184,545.566
ecgclass,2.3207,543.272
ecgclass,2.3510,612.892
ecgclass,2.4359,528.002
ecgclass,2.4638,500.134
ecgclass,2.5343,526.616
ecgclass,2.5595,501.386
ecgclass,2.6040,456.938
ecgclass,2.6145,550.925
ecgclass,2.6180,547.416
ecgclass,2.6223,543.100
ecgclass,2.6266,638.197
ecgclass,2.6279,636.935
ecgclass,2.6855,579.309
ecgclass,2.7000,662.960
ecgclass,2.7131,649.910
ecgclass,2.7440,618.984
ecgclass,2.7508,716.247
ecgclass,2.8144,652.680
ecgclass,2.8578,609.311
ecgclass,2.8689,699.701
ecgclass,2.8753,693.329
ecgclass,2.8927,675.923
ecgclass,2.9036,762.614
ecgclass,2.9059,760.325
ecgclass,2.9222,744.036
ecgclass,2.9971,773.368
ecgclass,3.0315,739.019
ecgclass,3.1344,636.134
ecgclass,3.2020,668.056
ecgclass,3.2395,630.644
ecgclass,3.3015,568.637
ecgclass,3.3255,641.925
ecgclass,3.3614,606.134
ecgclass,3.3731,594.435
ecgclass,3.3807,691.336
ecgclass,3.4520,619.999
ecgclass,3.4573,614.684
ecgclass,3.4637,704.931
ecgclass,3.4733,695.310
ecgclass,3.5057,662.982
ecgclass,3.5195,747.541
ecgclass,3.5427,724.346
ecgclass,3.6143,652.765
ecgclass,3.6655,705.863
ecgclass,3.7053,666.118
ecgclass,3.7106,660.861
ecgclass,3.7508,717.659
ecgclass,3.7667,701.751
ecgclass,3.7691,699.382
ecgclass,3.7830,783.445
ecgclass,3.7853,781.108
ecgclass,3.8157,750.719
ecgclass,3.8483,822.133
ecgclass,3.8580,812.455
ecgclass,3.8594,811.139
ecgclass,3.9506,817.776
ecgclass,3.9777,790.763
ecgclass,4.0272,741.227
ecgclass,4.0386,824.682
ecgclass,4.0947,768.658
ecgclass,4.1495,713.844
ecgclass,4.1519,814.905
ecgclass,4.3337,633.163
ecgclass,4.3555,611.350
ecgclass,4.4027,660.779
ecgclass,4.4102,653.369
ecgclass,4.4434,620.226
ecgclass,4.4539,711.721
ecgclass,4.5063,659.435
ecgclass,4.5221,643.610
ecgclass,4.5483,718.222
ecgclass,4.5656,701.007
ecgclass,4.5911,675.550
ecgclass,4.6069,755.769
ecgclass,4.6273,735.445
ecgclass,4.6276,735.170
ecgclass,4.6807,786.502
ecgclass,4.7650,702.204
ecgclass,4.7837,683.516
ecgclass,4.8988,669.001
ecgclass,4.9033,664.562
ecgclass,4.9956,572.260
ecgclass,5.0076,658.226
ecgclass,5.0304,635.455
ecgclass,5.1120,553.871
ecgclass,5.1155,654.763
ecgclass,5.1220,648.305
ecgclass,5.1669,603.454
ecgclass,5.1992,670.935
ecgclass,5.2096,660.558
ecgclass,5.2240,646.199
ecgclass,5.2487,719.134
ecgclass,5.3122,655.686
ecgclass,5.3245,643.412
ecgclass,5.3500,722.434
ecgclass,5.3614,711.058
ecgclass,5.3729,699.534
ecgclass,5.4432,725.684
ecgclass,5.4626,706.296
ecgclass,5.5060,662.971
ecgclass,5.5163,750.729
ecgclass,5.5219,745.157
ecgclass,5.5603,706.755
ecgclass,5.6079,763.519
ecgclass,5.6391,732.255
ecgclass,5.6784,692.985
ecgclass,5.7127,754.931
ecgclass,5.7495,718.131
ecgclass,5.8247,642.908
ecgclass,5.9181,647.346
ecgclass,5.9404,624.986
ecgclass,5.9437,621.718
ecgclass,5.9901,680.058
ecgclass,6.0191,651.072
ecgclass,6.1002,569.921
ecgclass,6.1349,631.526
ecgclass,6.1393,627.193
ecgclass,6.1743,592.237
ecgclass,6.1931,669.478
ecgclass,6.1974,665.193
ecgclass,6.2077,654.912
ecgclass,6.3237,642.723
ecgclass,6.3361,630.347
ecgclass,6.3448,621.638
ecgclass,6.3591,704.106
ecgclass,6.4282,635.077
ecgclass,6.4644,598.915
ecgclass,6.4708,695.716
ecgclass,6.4708,695.663
ecgclass,6.4857,680.750
ecgclass,6.4910,774.822
ecgclass,6.5602,705.708
ecgclass,6.5636,702.369
ecgclass,6.5867,776.311
ecgclass,6.6198,743.286
ecgclass,6.7158,647.267
ecgclass,6.7261,741.304
ecgclass,6.7837,683.741
ecgclass,6.8091,658.490
ecgclass,6.8668,700.094
ecgclass,6.8783,688.631
ecgclass,6.8895,677.485
ecgclass,6.8980,766.692
ecgclass,6.9335,731.137
ecgclass,6.9539,710.806
ecgclass,6.9832,785.897
ecgclass,7.0257,743.356
ecgclass,7.0645,704.647
ecgclass,7.0990,770.956
ecgclass,7.1458,724.200
ecgclass,7.1473,722.715
ecgclass,7.1976,769.688
ecgclass,7.2408,726.540
