task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth,no_sharing,2860,9.8621,80.267,67.979,169.275,228.693,46.289,15.833,0.002,23.301,17.68,33.978
vocseg,no_sharing,2947,10.1621,82.656,70.403,169.232,236.712,47.06,17.371,0.003,22.212,18.493,35.596
