task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,no_sharing_tpc,8944,15.1593,67.693,55.283,148.723,206.971,51.377,49.759,0.002,0.848,15.8,0.0,16.316
gestureclass,no_sharing_tpc,8974,15.2102,67.972,55.178,147.715,204.02,51.31,49.683,0.002,0.85,16.13,0.0,16.662
