task,slot,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,slot_0:ecgclass,sharing,2906,4.9254,71.224,62.829,122.615,164.183,54.61,52.481,0.002,0.986,15.597,16.614
gestureclass,slot_1:gestureclass,sharing,2980,5.0508,72.512,64.383,124.081,164.299,55.267,53.022,0.002,1.019,16.228,17.245
