task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,197,19.7,19.172,15.625,35.696,42.034
gestureclass,no_sharing,197,19.7,19.603,15.396,36.337,46.388
