regime,trial,seed,prefix_n,condition,placed_count,all_placed,first_failure_n,error
high,2,2012347,11,fmaas,11,True,,
high,2,2012347,11,no_sharing,11,True,,
high,2,2012347,12,fmaas,12,True,,
high,2,2012347,12,no_sharing,12,True,,
high,2,2012347,13,fmaas,13,True,,
high,2,2012347,13,no_sharing,13,True,,
high,2,2012347,14,fmaas,14,True,,
high,2,2012347,14,no_sharing,14,True,,
high,2,2012347,15,fmaas,15,True,,
high,2,2012347,15,no_sharing,15,True,,
high,2,2012347,16,fmaas,16,True,,
high,2,2012347,16,no_sharing,16,True,,
high,2,2012347,17,fmaas,17,True,,
high,2,2012347,17,no_sharing,17,True,,
high,2,2012347,18,fmaas,18,True,,
high,2,2012347,18,no_sharing,18,True,,
high,2,2012347,19,fmaas,19,True,,
high,2,2012347,19,no_sharing,19,True,,
high,2,2012347,20,fmaas,20,True,,
high,2,2012347,20,no_sharing,20,True,,
high,2,2012347,21,fmaas,21,True,,
high,2,2012347,21,no_sharing,21,True,,
high,2,2012347,22,fmaas,22,True,,
high,2,2012347,22,no_sharing,22,True,,
high,2,2012347,23,fmaas,23,True,,
high,2,2012347,23,no_sharing,23,True,,
high,2,2012347,24,fmaas,24,True,,
high,2,2012347,24,no_sharing,24,True,,
high,2,2012347,25,fmaas,25,True,,
high,2,2012347,25,no_sharing,25,True,,
high,2,2012347,26,fmaas,26,True,,
high,2,2012347,26,no_sharing,26,True,,
high,2,2012347,27,fmaas,27,True,,
high,2,2012347,27,no_sharing,27,True,,
high,2,2012347,28,fmaas,28,True,,
high,2,2012347,28,no_sharing,28,True,,
high,2,2012347,29,fmaas,29,True,,
high,2,2012347,29,no_sharing,29,True,,
high,2,2012347,30,fmaas,30,True,,
high,2,2012347,30,no_sharing,30,True,,
high,2,2012347,31,fmaas,31,True,,
high,2,2012347,31,no_sharing,31,True,,
high,2,2012347,32,fmaas,32,True,,
high,2,2012347,32,no_sharing,32,True,,
high,2,2012347,33,fmaas,33,True,,
high,2,2012347,33,no_sharing,33,True,,
high,2,2012347,34,fmaas,34,True,,
high,2,2012347,34,no_sharing,34,True,,
high,2,2012347,35,fmaas,35,True,,
high,2,2012347,35,no_sharing,35,True,,
high,2,2012347,36,fmaas,36,True,,
high,2,2012347,36,no_sharing,36,True,,
high,2,2012347,37,fmaas,37,True,,
high,2,2012347,37,no_sharing,37,True,,
high,2,2012347,38,fmaas,38,True,,
high,2,2012347,38,no_sharing,38,True,,
high,2,2012347,39,fmaas,38,False,39,
high,2,2012347,39,no_sharing,38,False,39,
high,3,2012348,1,fmaas,1,True,,
high,3,2012348,1,no_sharing,1,True,,
high,3,2012348,2,fmaas,2,True,,
high,3,2012348,2,no_sharing,2,True,,
high,3,2012348,3,fmaas,3,True,,
high,3,2012348,3,no_sharing,3,True,,
high,3,2012348,4,fmaas,4,True,,
high,3,2012348,4,no_sharing,4,True,,
high,3,2012348,5,fmaas,5,True,,
high,3,2012348,5,no_sharing,5,True,,
high,3,2012348,6,fmaas,6,True,,
high,3,2012348,6,no_sharing,6,True,,
high,3,2012348,7,fmaas,7,True,,
high,3,2012348,7,no_sharing,7,True,,
high,3,2012348,8,fmaas,8,True,,
