task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,70.0,542,67.75,6852.577,7479.799,8660.222,8694.82,74.285,71.561,0.003,0.701,6777.671,0.0,6778.292
gestureclass,fifo,50.0,407,50.875,3510.396,3526.492,5341.596,5554.4,89.223,86.762,0.003,0.603,3420.517,0.0,3421.173
