model_name,dataset_name,device,num_samples,mae,rmse,mase,total_inference_time_sec,average_latency_ms,model_load_duration_sec,gpu_load_memory_mb,avg_cpu_usage_percent,avg_cpu_memory_usage_mb,avg_gpu_usage_percent,avg_gpu_memory_usage_mb
chronos_tiny,Hourly,NVIDIA A16,100,59.12514,66.73947,0.70721495,116.85782242391724,0.1010948172642383,0.3417498590424657,105.125,0.009,647.84,7.96,80.0
chronos_mini,Hourly,NVIDIA A16,100,51.94206619262695,64.26690673828125,0.6778039336204529,120.12075339094736,0.1339472536975517,0.3739293270045891,135.125,0.012,667.515,15.02,140.0
chronos_small,Hourly,NVIDIA A16,100,75.10126495361328,87.09407043457031,0.6703768372535706,125.38702557201032,0.1864707691187504,0.3926931160967797,205.125,0.008,659.63,34.51,146.0
chronos_base,Hourly,NVIDIA A16,100,46.66987228393555,54.81987380981445,0.7029415965080261,158.23916376405396,0.5149957293632906,0.5831136730266735,471.125,0.011,615.22,94.51,491.98
chronos_large,Hourly,NVIDIA A16,100,95.3782196044922,108.7649383544922,0.6721279621124268,234.93476052908227,1.2813736464548855,1.1275292900390923,1445.125,0.012,625.37,96.97,1250.0
chronos_tiny,smart_hourly,NVIDIA A16,100,0.6538278328675757,0.8889937135358581,1.3515563427513448,111.57656670501456,0.1020705447893124,0.3604500989895314,105.125,0.007,642.5,5.18,80.0
chronos_mini,smart_hourly,NVIDIA A16,100,0.6655648105193108,0.8899514834000096,1.3867453507473286,114.7607875050744,0.133944351101527,0.4182737310184166,135.125,0.012,641.49,15.33,140.0
chronos_small,smart_hourly,NVIDIA A16,100,0.6544780816728262,0.8811051422952246,1.3612595412565482,120.0279722219566,0.186601882551331,0.4554265959886834,205.125,0.013,647.645,34.96,146.0
chronos_base,smart_hourly,NVIDIA A16,100,0.6446406690230034,0.8725492058764759,1.3281141309973583,152.86759031703696,0.5149892360600643,0.9602083960780874,471.125,0.012,607.565,94.66,491.98
chronos_large,smart_hourly,NVIDIA A16,100,0.6404905065809701,0.8650161954488111,1.326132758465664,229.78717739298008,1.2841345564741642,1.13247698394116,1445.125,0.013,613.945,96.89,1250.0
Moirai_Small,Hourly,NVIDIA A16,100,79.61441802978516,107.01255798339844,0.8585148453712463,119.74414033209904,0.1264955475134775,0.3981690208893269,123.125,0.008,496.145,5.43,44.0
Moirai_Base,Hourly,NVIDIA A16,100,3400.86083984375,15456.1904296875,0.91282320022583,125.77759554993828,0.1826276445935946,0.8068434089655057,439.125,0.016,302.645,20.75,44.0
Moirai_Large,Hourly,NVIDIA A16,100,54.65572738647461,63.65449523925781,0.7819024920463562,142.1591879510088,0.3306759507907554,2.215143836918287,1349.125,0.0099999999999999,156.5,61.89,44.0
Moirai_Small,smart_hourly,NVIDIA A16,100,0.5805324127563151,0.7857701397906088,1.2363040073305482,114.21309902705252,0.1237668145133648,0.3185729020042345,123.125,0.009,492.765,5.85,44.0
Moirai_Base,smart_hourly,NVIDIA A16,100,0.5635552799988642,0.7673932126082366,1.1997690969195538,120.48284968000372,0.181431002022,0.8229459220310673,439.125,0.009,461.02,20.97,44.0
Moirai_Large,smart_hourly,NVIDIA A16,100,0.585012871436216,0.7934075337721934,1.2454433607544804,136.95132587500848,0.33232569513842464,2.195547297014855,1349.125,0.012,293.0,63.56,44.0
