task,n_requests,throughput_rps,avg_latency_ms
sysbp,495,8.25,121.3812112345947
trafficfore,495,8.25,121.38025885256187
gestureclass,495,8.25,121.38184372509413
ecgclass,495,8.25,121.382346773897
exchangefore,495,8.25,121.38097004646275
heartrate,495,8.25,121.38166902657372
diasbp,495,8.25,121.3819824484873
etth1fore,495,8.25,121.38166454534817
weatherfore,495,8.25,121.38110073334761
eclfore,495,8.25,121.38199957175536
