req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
0,0.0,site2,192.168.245.195:8000,papageissvri,diasbp,1776741178.1882377,1776741178.188245,1776741178.2082443,1776741178.2415314,1776741178.2430704,0.0073909759521484375,-11.979341506958008,33.28704833984375,33.51759910583496,54.83269691467285,30.096718000000003,0.003176,1.790856
15,0.0,site2,192.168.245.193:8000,momentbase,heartrate,1776741178.1934505,1776741178.1934543,1776741178.2166405,1776741178.2670329,1776741178.269517,0.003814697265625,-8.628129959106445,50.39238929748535,34.29841995239258,76.06649398803711,46.879161,0.005136,1.939795
6,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore__app15,1776741178.1893077,1776741178.1893117,1776741178.2399964,1776741178.2765381,1776741178.278143,0.0040531158447265625,18.706083297729492,36.54170036315918,33.58340263366699,88.83523941040039,30.126509,0.003507,4.125549
9,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore__app39,1776741178.1897478,1776741178.1897516,1776741178.2399964,1776741178.2784173,1776741178.2810788,0.003814697265625,18.26620101928711,38.420915603637695,34.64007377624512,91.33100509643555,30.126509,0.00428,6.790072
8,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore__app31,1776741178.1896055,1776741178.189609,1776741178.2399964,1776741178.278671,1776741178.2813184,0.0035762786865234375,18.408775329589844,38.67459297180176,34.626007080078125,91.71295166015625,30.126509,0.005286,5.313695
5,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore,1776741178.1891346,1776741178.1891387,1776741178.2399964,1776741178.280959,1776741178.2825313,0.0040531158447265625,18.879175186157227,40.96245765686035,33.55097770690918,93.39666366577148,30.126509,0.003473,3.894026
3,0.0,site2,192.168.245.195:8000,papageissvri,diasbp__app27,1776741178.1888216,1776741178.1888256,1776741178.2399964,1776741178.2811193,1776741178.2827053,0.0040531158447265625,19.192218780517578,41.1229133605957,33.56456756591797,93.88375282287598,30.126509,0.003406,7.6198749999999995
7,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore__app23,1776741178.1894577,1776741178.1894617,1776741178.2399964,1776741178.28118,1776741178.2831507,0.0040531158447265625,18.55611801147461,41.1834716796875,33.94937515258789,93.69301795959473,30.126509,0.0032459999999999998,6.052746
2,0.0,site2,192.168.245.195:8000,papageissvri,diasbp__app19,1776741178.1886635,1776741178.1886683,1776741178.2399964,1776741178.281253,1776741178.283312,0.00476837158203125,19.34957504272461,41.25666618347168,34.03759002685547,94.64859962463379,30.126509,0.003744,8.257706
4,0.0,site2,192.168.245.195:8000,papageissvri,diasbp__app35,1776741178.1889846,1776741178.1889892,1776741178.2399964,1776741178.2813272,1776741178.2834234,0.0045299530029296875,19.028663635253906,41.330814361572266,34.07478332519531,94.43879127502441,30.126509,0.003537,5.262587
