task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,10264,60.3765,98.336,89.488,206.206,287.186
gestureclass,no_sharing,10168,59.8118,99.74,87.691,219.593,323.603
