req_id,send_time_rel,latency_ms,start_time_ns,end_time_ns
0,2e-06,307.936,1775258346028406961,1775258346322150374
1,0.024505,349.4787,1775258346334347283,1775258346387943512
2,0.048106,325.983,1775258346334347283,1775258346387943512
3,0.07168,302.4237,1775258346334347283,1775258346387943512
4,0.074234,300.0767,1775258346334347283,1775258346387943512
5,0.075566,298.758,1775258346334347283,1775258346387943512
6,0.0899,285.1913,1775258346334347283,1775258346387943512
7,0.103761,271.3552,1775258346334347283,1775258346387943512
8,0.135387,239.7392,1775258346334347283,1775258346387943512
9,0.135851,239.2831,1775258346334347283,1775258346387943512
10,0.146245,228.8973,1775258346334347283,1775258346387943512
11,0.147714,227.8016,1775258346334347283,1775258346387943512
12,0.158102,217.7529,1775258346334347283,1775258346387943512
13,0.175651,200.2127,1775258346334347283,1775258346387943512
14,0.179226,196.6434,1775258346334347283,1775258346387943512
15,0.191635,187.9699,1775258346334347283,1775258346387943512
16,0.193186,186.9965,1775258346334347283,1775258346387943512
17,0.194514,185.6852,1775258346334347283,1775258346387943512
18,0.196867,183.3432,1775258346334347283,1775258346387943512
19,0.207248,173.1513,1775258346334347283,1775258346387943512
20,0.210829,169.5931,1775258346334347283,1775258346387943512
21,0.223225,158.9401,1775258346334347283,1775258346387943512
22,0.22567,156.5068,1775258346334347283,1775258346387943512
23,0.245101,137.0831,1775258346334347283,1775258346387943512
24,0.255678,126.5132,1775258346334347283,1775258346387943512
25,0.262138,120.0612,1775258346334347283,1775258346387943512
26,0.266509,115.6976,1775258346334347283,1775258346387943512
27,0.270877,111.3358,1775258346334347283,1775258346387943512
28,0.272266,109.9536,1775258346334347283,1775258346387943512
29,0.273571,108.6555,1775258346334347283,1775258346387943512
30,0.280936,101.2976,1775258346334347283,1775258346387943512
31,0.28436,97.8799,1775258346334347283,1775258346387943512
32,0.296751,85.4957,1775258346334347283,1775258346387943512
33,0.304178,78.0754,1775258346334347283,1775258346387943512
34,0.306564,75.6977,1775258346334347283,1775258346387943512
35,0.311065,71.2218,1775258346334347283,1775258346387943512
36,0.317426,94.4071,1775258346408947536,1775258346426011120
37,0.320792,91.2626,1775258346408947536,1775258346426011120
38,0.324087,87.9815,1775258346408947536,1775258346426011120
39,0.334409,77.7709,1775258346408947536,1775258346426011120
40,0.335791,77.0175,1775258346408947536,1775258346426011120
41,0.350092,62.851,1775258346408947536,1775258346426011120
42,0.364439,48.6438,1775258346408947536,1775258346426011120
43,0.373558,39.5348,1775258346408947536,1775258346426011120
44,0.374331,38.928,1775258346408947536,1775258346426011120
45,0.386523,26.8927,1775258346408947536,1775258346426011120
46,0.400893,46.5944,1775258346447049815,1775258346461691492
47,0.41129,36.2947,1775258346447049815,1775258346461691492
48,0.413225,34.6906,1775258346447049815,1775258346461691492
49,0.416592,31.3342,1775258346447049815,1775258346461691492
50,0.418893,29.0387,1775258346447049815,1775258346461691492
51,0.422173,50.092,1775258346472631806,1775258346486181483
52,0.422184,50.096,1775258346472631806,1775258346486181483
53,0.423578,48.7499,1775258346472631806,1775258346486181483
54,0.437863,34.4784,1775258346472631806,1775258346486181483
55,0.477458,32.182,1775258346509052878,1775258346523919171
56,0.482877,26.8483,1775258346509052878,1775258346523919171
57,0.485243,24.4942,1775258346509052878,1775258346523919171
58,0.489523,43.417,1775258346532945002,1775258346547149877
59,0.492821,40.3185,1775258346532945002,1775258346547149877
60,0.494099,39.0506,1775258346532945002,1775258346547149877
61,0.505421,27.7977,1775258346532945002,1775258346547149877
62,0.519881,38.2774,1775258346559409558,1775258346572195063
63,0.534323,23.8502,1775258346559409558,1775258346572195063
64,0.587335,26.9492,1775258346614100917,1775258346628600490
65,0.607887,33.972,1775258346637554549,1775258346655935990
66,0.6271,44.8453,1775258346669787175,1775258346686138979
67,0.635643,36.5169,1775258346669787175,1775258346686138979
68,0.641099,31.0738,1775258346669787175,1775258346686138979
69,0.641117,31.364,1775258346669787175,1775258346686138979
70,0.651971,51.1763,1775258346698533134,1775258346714836787
