task,send_elapsed_s,latency_ms,server_exec_ms,worker_id,has_adapter
ecgclass,0.0002,388.372,384.494,0,1
ecgclass__app2,0.0004,626.970,263.063,0,1
ecgclass__app1,0.0003,627.842,263.602,0,1
ecgclass__app5,0.0006,627.666,263.797,0,1
ecgclass__app7,0.0007,627.870,263.862,0,0
ecgclass__app3,0.0005,628.474,264.936,0,1
ecgclass__app4,0.0006,628.602,265.053,0,1
ecgclass__app6,0.0007,629.219,265.809,0,0
ecgclass__app8,0.0020,628.123,265.905,0,0
ecgclass__app9,0.0021,628.772,267.010,0,0
ecgclass,0.3886,277.027,48.802,0,1
ecgclass__app7,0.6286,252.081,224.195,0,0
ecgclass__app1,0.6282,253.278,224.865,0,1
ecgclass__app3,0.6290,252.603,225.000,0,1
ecgclass__app4,0.6292,252.464,225.144,0,1
ecgclass__app8,0.6301,252.073,225.988,0,0
ecgclass__app9,0.6309,251.889,226.143,0,0
ecgclass__app2,0.6274,255.698,226.759,0,1
ecgclass__app6,0.6299,253.289,226.838,0,0
ecgclass__app5,0.6283,256.226,228.647,0,1
ecgclass,0.6656,252.819,50.052,0,1
ecgclass__app6,0.8832,248.656,222.714,0,0
ecgclass__app2,0.8831,250.737,223.990,0,1
ecgclass__app4,0.8816,252.526,224.286,0,1
ecgclass__app9,0.8828,251.457,224.512,0,0
ecgclass__app7,0.8807,253.859,224.540,0,0
ecgclass__app5,0.8845,250.124,224.797,0,1
ecgclass__app1,0.8815,253.271,225.311,0,1
ecgclass__app3,0.8816,253.446,225.882,0,1
ecgclass__app8,0.8822,252.886,225.969,0,0
ecgclass,0.9185,251.232,49.917,0,1
ecgclass__app2,1.1339,248.960,222.020,0,1
ecgclass__app9,1.1343,249.295,222.776,0,0
ecgclass__app8,1.1351,248.833,223.056,0,0
ecgclass__app7,1.1346,249.450,223.243,0,0
ecgclass__app5,1.1347,249.735,223.467,0,1
ecgclass__app3,1.1351,249.424,223.565,0,1
ecgclass__app6,1.1319,252.853,223.948,0,0
ecgclass__app1,1.1348,251.174,225.655,0,1
ecgclass__app4,1.1342,252.125,226.065,0,1
ecgclass,1.1697,251.538,49.689,0,1
ecgclass__app6,1.3847,249.511,222.765,0,0
ecgclass__app7,1.3841,250.950,223.726,0,0
ecgclass__app8,1.3840,252.153,224.725,0,0
ecgclass__app5,1.3844,251.942,224.896,0,1
ecgclass__app3,1.3845,252.960,225.790,0,1
ecgclass__app9,1.3836,253.958,225.869,0,0
ecgclass__app4,1.3863,251.549,225.999,0,1
ecgclass__app2,1.3829,255.193,226.023,0,1
ecgclass__app1,1.3860,252.171,226.052,0,1
ecgclass,1.4213,251.801,50.155,0,1
ecgclass__app9,1.6375,249.908,222.770,0,0
ecgclass__app5,1.6364,251.245,223.174,0,1
ecgclass__app1,1.6381,249.895,223.327,0,1
ecgclass__app3,1.6375,250.805,223.567,0,1
ecgclass__app4,1.6379,250.695,223.665,0,1
ecgclass__app7,1.6350,253.787,224.252,0,0
ecgclass__app2,1.6381,250.818,224.316,0,1
ecgclass__app8,1.6361,252.808,224.383,0,0
ecgclass__app6,1.6343,254.685,224.470,0,0
ecgclass,1.6731,250.588,50.778,0,1
ecgclass__app9,1.8875,437.844,410.997,0,0
ecgclass__app5,1.8876,439.162,412.067,0,1
ecgclass__app2,1.8889,438.344,412.337,0,1
ecgclass__app8,1.8889,438.405,412.471,0,0
ecgclass__app7,1.8888,438.717,412.636,0,0
ecgclass__app4,1.8886,439.495,413.445,0,1
ecgclass__app1,1.8880,440.203,413.599,0,1
ecgclass__app3,1.8883,441.236,415.281,0,1
ecgclass__app6,1.8890,440.713,415.360,0,0
ecgclass,1.9237,439.558,49.560,0,1
ecgclass__app6,2.3297,247.685,223.255,0,0
ecgclass__app8,2.3273,250.989,224.093,0,0
ecgclass__app9,2.3253,253.551,224.508,0,0
ecgclass__app3,2.3295,249.737,224.932,0,1
ecgclass__app7,2.3275,252.672,226.078,0,0
ecgclass__app1,2.3283,252.083,226.201,0,1
ecgclass__app2,2.3273,253.519,226.845,0,1
ecgclass__app4,2.3281,252.952,226.874,0,1
ecgclass__app5,2.3268,254.672,227.695,0,1
ecgclass,2.3633,253.696,51.040,0,1
ecgclass__app9,2.5789,252.203,223.772,0,0
ecgclass__app1,2.5804,250.880,223.900,0,1
ecgclass__app3,2.5793,252.327,224.413,0,1
ecgclass__app2,2.5808,251.333,225.098,0,1
ecgclass__app6,2.5774,255.613,225.659,0,0
ecgclass__app4,2.5811,252.309,226.034,0,1
