task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,1,219,3.9818,251.391,251.434,254.272,255.963
ecgclass__app1,1,219,3.9818,251.433,251.354,255.593,257.167
ecgclass__app2,1,219,3.9818,251.445,251.684,255.455,257.997
ecgclass__app3,1,219,3.9818,251.438,251.346,255.937,257.983
ecgclass__app4,1,219,3.9818,251.434,251.505,255.513,257.76
ecgclass__app5,1,219,3.9818,251.441,251.49,255.472,257.08
ecgclass__app6,0,219,3.9818,251.433,251.525,255.07,256.361
ecgclass__app7,0,219,3.9818,251.431,251.39,255.735,257.36
ecgclass__app8,0,219,3.9818,251.447,251.477,255.072,258.522
ecgclass__app9,0,219,3.9818,251.436,251.32,255.52,257.229
