task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,2,1,4.4318,4.5263,94.4428,94.4428,82.8695,81.7219,0.0039,0.776,5.043,11.5733,1775531994356820510,0
nyudepth,2,1,4.5263,4.6208,94.5082,94.5082,83.3204,82.2108,0.0045,0.705,4.612,11.1878,1775531994450845476,0
nyudepth,2,1,4.6208,4.7154,94.5592,94.5592,83.3495,82.2485,0.0039,0.7475,4.7212,11.2097,1775531994545475023,0
nyudepth,2,1,4.7154,4.81,94.5711,94.5711,81.902,80.8069,0.0035,0.708,6.1238,12.6691,1775531994641449946,0
nyudepth,2,1,4.81,4.9047,94.7137,94.7137,83.2265,82.1452,0.0036,0.7041,4.93,11.4871,1775531994734839306,0
nyudepth,2,1,4.9047,4.9994,94.722,94.722,83.2725,82.1688,0.0036,0.7199,4.8997,11.4495,1775531994829536012,0
nyudepth,2,1,4.9994,5.0939,94.4321,94.4321,83.1198,81.9619,0.0042,0.7314,4.818,11.3124,1775531994924188868,0
nyudepth,2,1,5.0939,5.1886,94.7373,94.7373,82.3262,81.1622,0.0037,0.7408,5.8854,12.4111,1775531995019701377,0
nyudepth,2,1,5.1886,5.2835,94.8644,94.8644,82.436,80.9081,0.0043,0.728,5.933,12.4283,1775531995114499188,0
nyudepth,2,1,5.2835,5.3777,94.1796,94.1796,81.638,80.5307,0.0041,0.7192,5.95,12.5416,1775531995209392251,0
nyudepth,2,1,5.3777,5.4723,94.5957,94.5957,83.3155,82.2113,0.0037,0.7438,4.6473,11.2801,1775531995302281477,0
nyudepth,2,1,5.4723,5.5667,94.4347,94.4347,83.1879,82.0613,0.004,0.7328,4.7214,11.2469,1775531995396964099,0
