req_id,req_time,site_manager,device,backbone,task,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
0,0.0460477518913723,site2,10.100.20.49:8001,chronostiny,ecgclass,358.10,325.39,0.02,0.0,0.0
1,0.060610101125189914,site2,10.100.20.49:8001,chronostiny,gestureclass,7.87,4.90,0.00,4.0,4.0
2,0.13367416209761562,site2,10.100.20.49:8001,chronostiny,gestureclass,6.44,3.91,0.00,4.0,4.0
3,0.14562114615061772,site2,10.100.20.49:8001,chronostiny,gestureclass,6.14,3.87,0.00,4.0,4.0
4,0.41741213880325023,site2,10.100.20.49:8001,chronostiny,ecgclass,5.97,3.87,0.00,0.0,0.0
5,0.43769472821462374,site2,10.100.20.49:8001,chronostiny,ecgclass,6.21,3.92,0.00,0.0,0.0
6,0.466832398461401,site2,10.100.20.49:8001,chronostiny,ecgclass,6.95,4.12,0.00,0.0,0.0
7,0.5190272112883388,site2,10.100.20.49:8001,chronostiny,gestureclass,7.29,4.35,0.01,4.0,4.0
8,0.5673424965178177,site2,10.100.20.49:8001,chronostiny,gestureclass,7.40,4.33,0.00,4.0,4.0
9,0.7256527188284724,site2,10.100.20.49:8001,chronostiny,gestureclass,8.30,4.66,0.00,4.0,4.0
10,0.7865915780784947,site2,10.100.20.49:8001,chronostiny,ecgclass,7.73,4.42,0.01,0.0,0.0
11,0.8053171402083885,site2,10.100.20.49:8001,chronostiny,gestureclass,6.65,4.02,0.00,4.0,4.0
12,0.8364067371462771,site2,10.100.20.49:8001,chronostiny,gestureclass,6.83,4.16,0.00,4.0,4.0
13,0.9075609476380311,site2,10.100.20.49:8001,chronostiny,ecgclass,8.05,4.54,0.01,0.0,0.0
14,0.9235137491860618,site2,10.100.20.49:8001,chronostiny,ecgclass,6.29,3.98,0.00,0.0,0.0
15,1.0181000390854114,site2,10.100.20.49:8001,chronostiny,ecgclass,8.26,4.62,0.00,0.0,0.0
16,1.1015129062203808,site2,10.100.20.49:8001,chronostiny,ecgclass,8.17,4.60,0.00,0.0,0.0
17,1.2269351202110064,site2,10.100.20.49:8001,chronostiny,gestureclass,8.27,4.65,0.01,4.0,4.0
18,1.5045219141179003,site2,10.100.20.49:8001,chronostiny,ecgclass,8.56,4.65,0.01,0.0,0.0
19,1.7478534537526835,site2,10.100.20.49:8001,chronostiny,ecgclass,8.20,4.66,0.00,0.0,0.0
20,2.0398707085937478,site2,10.100.20.49:8001,chronostiny,gestureclass,8.24,4.66,0.01,4.0,4.0
21,2.0679367993917626,site2,10.100.20.49:8001,chronostiny,ecgclass,6.77,4.09,0.00,0.0,0.0
22,2.0820430884794696,site2,10.100.20.49:8001,chronostiny,ecgclass,6.59,3.93,0.00,0.0,0.0
23,2.1180363558658617,site2,10.100.20.49:8001,chronostiny,ecgclass,7.31,4.28,0.00,0.0,0.0
24,2.3434969985861986,site2,10.100.20.49:8001,chronostiny,ecgclass,8.22,4.65,0.00,0.0,0.0
25,2.701243238865916,site2,10.100.20.49:8001,chronostiny,gestureclass,8.35,4.66,0.01,4.0,4.0
26,2.8973735054502403,site2,10.100.20.49:8001,chronostiny,ecgclass,8.38,4.66,0.01,0.0,0.0
27,2.909028878233585,site2,10.100.20.49:8001,chronostiny,gestureclass,6.21,3.89,0.00,4.0,4.0
28,3.203586036579252,site2,10.100.20.49:8001,chronostiny,gestureclass,8.33,4.64,0.00,4.0,4.0
29,3.2586394068863416,site2,10.100.20.49:8001,chronostiny,ecgclass,7.30,4.36,0.01,0.0,0.0
30,3.2595747971285363,site2,10.100.20.49:8001,chronostiny,gestureclass,6.29,3.86,0.00,4.0,4.0
31,3.3179850165540206,site2,10.100.20.49:8001,chronostiny,ecgclass,7.70,4.35,0.00,0.0,0.0
32,3.3227014280603573,site2,10.100.20.49:8001,chronostiny,ecgclass,6.08,3.84,0.00,0.0,0.0
33,3.4012009069149123,site2,10.100.20.49:8001,chronostiny,gestureclass,7.93,4.57,0.01,4.0,4.0
34,3.442533604204185,site2,10.100.20.49:8001,chronostiny,gestureclass,7.14,4.24,0.00,4.0,4.0
35,3.506671641416841,site2,10.100.20.49:8001,chronostiny,gestureclass,7.65,4.45,0.00,4.0,4.0
36,3.6016487305679576,site2,10.100.20.49:8001,chronostiny,ecgclass,11.77,7.54,0.01,0.0,0.0
37,3.8047528060456575,site2,10.100.20.49:8001,chronostiny,ecgclass,8.41,4.66,0.00,0.0,0.0
38,3.9131946292474367,site2,10.100.20.49:8001,chronostiny,gestureclass,8.41,4.68,0.01,4.0,4.0
39,3.9701193837048296,site2,10.100.20.49:8001,chronostiny,ecgclass,7.49,4.38,0.00,0.0,0.0
40,4.141281871546007,site2,10.100.20.49:8001,chronostiny,ecgclass,8.56,4.66,0.00,0.0,0.0
41,4.377284371856712,site2,10.100.20.49:8001,chronostiny,ecgclass,8.37,4.66,0.00,0.0,0.0
42,4.390040436185277,site2,10.100.20.49:8001,chronostiny,ecgclass,6.59,3.90,0.00,0.0,0.0
43,4.465954814481361,site2,10.100.20.49:8001,chronostiny,gestureclass,7.93,4.57,0.01,4.0,4.0
44,4.499433854016248,site2,10.100.20.49:8001,chronostiny,ecgclass,7.01,4.12,0.00,0.0,0.0
45,4.504254313358272,site2,10.100.20.49:8001,chronostiny,gestureclass,6.41,3.87,0.00,4.0,4.0
46,4.614681147293301,site2,10.100.20.49:8001,chronostiny,ecgclass,8.12,4.64,0.01,0.0,0.0
47,4.81329140670233,site2,10.100.20.49:8001,chronostiny,gestureclass,8.74,4.64,0.01,4.0,4.0
48,4.831072897938423,site2,10.100.20.49:8001,chronostiny,gestureclass,6.43,4.01,0.00,4.0,4.0
49,4.998424502627758,site2,10.100.20.49:8001,chronostiny,ecgclass,8.43,4.66,0.01,0.0,0.0
50,5.190426341348127,site2,10.100.20.49:8001,chronostiny,gestureclass,8.47,4.65,0.01,4.0,4.0
51,5.436163788800473,site2,10.100.20.49:8001,chronostiny,gestureclass,8.28,4.65,0.00,4.0,4.0
52,5.4669910619325055,site2,10.100.20.49:8001,chronostiny,gestureclass,6.74,4.22,0.00,4.0,4.0
53,5.701282892204213,site2,10.100.20.49:8001,chronostiny,gestureclass,8.40,4.65,0.00,4.0,4.0
54,5.739946651744213,site2,10.100.20.49:8001,chronostiny,gestureclass,7.11,4.19,0.00,4.0,4.0
55,5.820318334310369,site2,10.100.20.49:8001,chronostiny,gestureclass,8.43,4.63,0.00,4.0,4.0
56,5.825501096003957,site2,10.100.20.49:8001,chronostiny,ecgclass,6.18,3.87,0.00,0.0,0.0
57,5.8299883949153894,site2,10.100.20.49:8001,chronostiny,ecgclass,6.07,3.86,0.00,0.0,0.0
58,5.957418341668663,site2,10.100.20.49:8001,chronostiny,ecgclass,8.15,4.63,0.00,0.0,0.0
59,6.016203404399432,site2,10.100.20.49:8001,chronostiny,ecgclass,7.42,4.40,0.00,0.0,0.0
60,6.045814134302612,site2,10.100.20.49:8001,chronostiny,ecgclass,6.77,4.11,0.00,0.0,0.0
61,6.066937299360524,site2,10.100.20.49:8001,chronostiny,ecgclass,6.61,4.01,0.00,0.0,0.0
62,6.177789469126726,site2,10.100.20.49:8001,chronostiny,gestureclass,8.16,4.66,0.01,4.0,4.0
63,6.177829631593299,site2,10.100.20.49:8001,chronostiny,ecgclass,6.11,3.85,0.00,0.0,0.0
64,6.341763260962286,site2,10.100.20.49:8001,chronostiny,ecgclass,8.56,4.64,0.00,0.0,0.0
65,6.350019890550899,site2,10.100.20.49:8001,chronostiny,gestureclass,6.20,3.88,0.00,4.0,4.0
66,6.371276066066855,site2,10.100.20.49:8001,chronostiny,ecgclass,6.54,4.03,0.00,0.0,0.0
67,6.420090609426883,site2,10.100.20.49:8001,chronostiny,gestureclass,7.50,4.32,0.00,4.0,4.0
68,6.4864220218384965,site2,10.100.20.49:8001,chronostiny,ecgclass,7.92,4.47,0.01,0.0,0.0
69,6.530271760821852,site2,10.100.20.49:8001,chronostiny,gestureclass,7.15,4.26,0.01,4.0,4.0
70,6.568942793928136,site2,10.100.20.49:8001,chronostiny,gestureclass,6.93,4.22,0.00,4.0,4.0
71,6.901133399905481,site2,10.100.20.49:8001,chronostiny,ecgclass,8.15,4.64,0.01,0.0,0.0
72,7.003738290558387,site2,10.100.20.49:8001,chronostiny,ecgclass,8.05,4.62,0.00,0.0,0.0
73,7.006109477850822,site2,10.100.20.49:8001,chronostiny,gestureclass,6.11,3.87,0.00,4.0,4.0
74,7.062352235559785,site2,10.100.20.49:8001,chronostiny,gestureclass,7.58,4.36,0.00,4.0,4.0
