req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
0,0.0,site2,192.168.245.195:8000,papageissvri,diasbp,1776743050.525707,1776743050.525713,1776743050.5489998,1776743050.5826058,1776743050.5932267,0.0059604644775390625,-9.438633918762207,33.60605239868164,43.346285820007324,67.5196647644043,30.691222,0.005397,1.601183
18,0.0,site2,192.168.245.193:8000,momentbase,heartrate,1776743050.5323653,1776743050.5323696,1776743050.5607798,1776743050.5975778,1776743050.6091146,0.004291534423828125,-3.259420394897461,36.79800033569336,43.20645332336426,76.74932479858398,33.407775,0.00412,1.7987680000000001
11,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore__app47,1776743050.527243,1776743050.5272458,1776743050.5813794,1776743050.6168163,1776743050.6176648,0.00286102294921875,21.40820026397705,35.43686866760254,33.57398509979248,90.42191505432129,28.997673000000002,0.006202999999999999,4.5185130000000004
6,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore,1776743050.526629,1776743050.5266325,1776743050.5813794,1776743050.6178265,1776743050.6206253,0.0035762786865234375,22.02141284942627,36.44704818725586,35.52424907684326,93.99628639221191,28.997673000000002,0.00438,3.06499
10,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore__app39,1776743050.5271204,1776743050.5271237,1776743050.5813794,1776743050.6187222,1776743050.6207805,0.003337860107421875,21.53027057647705,37.34278678894043,34.78372097015381,93.66011619567871,28.997673000000002,0.00418,5.400073
1,0.0,site2,192.168.245.195:8000,papageissvri,diasbp__app11,1776743050.5259008,1776743050.5259056,1776743050.5813794,1776743050.6206732,1776743050.6225984,0.00476837158203125,22.748351097106934,39.293766021728516,34.65068340301514,96.69756889343262,28.997673000000002,0.0049169999999999995,7.280353
8,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore__app23,1776743050.5268774,1776743050.526881,1776743050.5813794,1776743050.62088,1776743050.6227121,0.0035762786865234375,21.77298069000244,39.50047492980957,34.55770015716553,95.83473205566406,28.997673000000002,0.00466,5.5881359999999995
9,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore__app31,1776743050.526999,1776743050.5270023,1776743050.5813794,1776743050.6210425,1776743050.6229672,0.003337860107421875,21.651625633239746,39.663076400756836,34.650206565856934,95.96824645996094,28.997673000000002,0.004667,6.168189
7,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore__app15,1776743050.5267544,1776743050.526758,1776743050.5813794,1776743050.6224756,1776743050.624289,0.0035762786865234375,21.896004676818848,41.09621047973633,34.538865089416504,97.5346565246582,28.997673000000002,0.004974,8.040979
2,0.0,site2,192.168.245.195:8000,papageissvri,diasbp__app19,1776743050.5260563,1776743050.5260606,1776743050.5813794,1776743050.622861,1776743050.6244047,0.004291534423828125,22.593379020690918,41.48149490356445,34.26921367645264,98.34837913513184,28.997673000000002,0.004743,8.908775
