task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth,no_sharing,5993,10.1576,31.045,23.314,60.197,92.791,22.453,21.1,0.002,0.807,5.558,0.0,8.591
vocseg,no_sharing,5925,10.0424,30.768,23.32,60.261,86.396,22.299,20.838,0.002,0.915,5.452,0.0,8.469
