task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,1,1,4.784,4.8916,107.5897,107.5897,105.2938,104.1346,0.0085,1.3611,2.296,1775956096734470968,0
ecgclass,1,1,4.8916,4.9997,108.0737,108.0737,105.6912,104.1255,0.0019,1.4329,2.3826,1775956096842148095,0
ecgclass,1,1,4.9997,5.1073,107.5954,107.5954,105.218,104.0813,0.0017,1.4405,2.3774,1775956096950245659,0
ecgclass,1,1,5.1073,5.2149,107.61,107.61,105.255,104.1057,0.0017,1.4031,2.355,1775956097057820033,0
ecgclass,1,1,5.2149,5.3225,107.6045,107.6045,105.2354,104.105,0.0018,1.4374,2.3691,1775956097165480739,0
ecgclass,1,1,5.3226,5.4302,107.6083,107.6083,105.2292,104.0984,0.0022,1.4398,2.3792,1775956097273104233,0
ecgclass,1,1,5.4302,5.5377,107.5404,107.5404,105.2505,104.1203,0.0019,1.3795,2.2899,1775956097380668886,0
ecgclass,1,1,5.5377,5.6455,107.7228,107.7228,105.2469,104.1094,0.0022,1.476,2.4758,1775956097488321999,0
ecgclass,1,1,5.6455,5.7531,107.6224,107.6224,105.2197,104.0883,0.0017,1.425,2.4027,1775956097596010212,0
ecgclass,1,1,5.7531,5.8607,107.5571,107.5571,105.2282,104.0989,0.0019,1.3435,2.3288,1775956097703567407,0
ecgclass,1,1,5.8607,5.9683,107.584,107.584,105.2232,104.079,0.0018,1.4074,2.3608,1775956097811204256,0
ecgclass,1,1,5.9683,6.0763,107.9636,107.9636,105.7062,104.1038,0.0017,1.298,2.2574,1775956097918695382,0
ecgclass,1,1,6.0763,6.1837,107.4276,107.4276,105.1901,104.0685,0.0018,1.3125,2.2375,1775956098026690779,0
ecgclass,1,1,6.1837,6.2913,107.559,107.559,105.2015,104.0689,0.0018,1.3893,2.3575,1775956098134210973,0
ecgclass,1,1,6.2913,6.3988,107.5275,107.5275,105.2556,104.1219,0.0018,1.3318,2.2719,1775956098241728684,0
ecgclass,1,1,6.3988,6.5064,107.5778,107.5778,105.2225,104.0916,0.0017,1.4477,2.3553,1775956098349388479,0
ecgclass,1,1,6.5064,6.614,107.6107,107.6107,105.2227,104.0766,0.0018,1.4198,2.388,1775956098456954733,0
ecgclass,1,1,6.6141,6.7216,107.5442,107.5442,105.2604,104.1318,0.002,1.3177,2.2838,1775956098564479599,0
ecgclass,1,1,6.7216,6.8292,107.6043,107.6043,105.2309,104.0991,0.0018,1.415,2.3733,1775956098672137241,0
ecgclass,1,1,6.8292,6.9367,107.4784,107.4784,105.1986,104.0712,0.0019,1.3225,2.2797,1775956098779665139,0
ecgclass,1,1,6.9367,7.0443,107.615,107.615,105.2474,104.109,0.0018,1.3978,2.3676,1775956098887235512,0
ecgclass,1,1,7.0444,7.1524,108.0539,108.0539,105.7502,104.1259,0.0019,1.3304,2.3037,1775956098994799592,0
ecgclass,1,1,7.1524,7.2599,107.5087,107.5087,105.221,104.0808,0.002,1.3113,2.2877,1775956099102850887,0
ecgclass,1,1,7.26,7.3675,107.5656,107.5656,105.2687,104.14,0.0017,1.3409,2.297,1775956099210405328,0
ecgclass,1,1,7.3675,7.4751,107.5807,107.5807,105.2185,104.0834,0.0018,1.4293,2.3622,1775956099318076807,0
ecgclass,1,1,7.4751,7.5827,107.5826,107.5826,105.2403,104.1084,0.0017,1.3988,2.3423,1775956099425643173,0
ecgclass,1,1,7.5827,7.6904,107.6918,107.6918,105.2519,104.1121,0.0017,1.4887,2.4398,1775956099533332109,0
ecgclass,1,1,7.6904,7.7981,107.6469,107.6469,105.2204,104.0899,0.0018,1.4381,2.4265,1775956099640989725,0
ecgclass,1,1,7.7981,7.9056,107.5299,107.5299,105.2454,104.112,0.0019,1.3223,2.2845,1775956099748537215,0
ecgclass,1,1,7.9057,8.0132,107.5737,107.5737,105.2152,104.0822,0.0018,1.4157,2.3585,1775956099856176260,0
ecgclass,1,1,8.0132,8.1207,107.4834,107.4834,105.1936,104.0722,0.002,1.3311,2.2897,1775956099963681820,0
ecgclass,1,1,8.1207,8.2283,107.5821,107.5821,105.2588,104.0712,0.0018,1.3521,2.3233,1775956100071202551,0
ecgclass,1,1,8.2283,8.3364,108.0904,108.0904,105.7494,104.1306,0.0017,1.3859,2.341,1775956100178834869,0
ecgclass,1,1,8.3364,8.4439,107.4958,107.4958,105.1829,104.0421,0.0018,1.3416,2.3129,1775956100286897004,0
ecgclass,1,1,8.444,8.5515,107.5397,107.5397,105.2501,104.1161,0.0017,1.3413,2.2895,1775956100394408468,0
ecgclass,1,1,8.5515,8.6591,107.564,107.564,105.2275,104.0894,0.0019,1.3673,2.3365,1775956100501990144,0
ecgclass,1,1,8.6591,8.7667,107.5623,107.5623,105.2595,104.1273,0.0017,1.3452,2.3029,1775956100609549458,0
ecgclass,1,1,8.7667,8.8743,107.6007,107.6007,105.2266,104.0878,0.0018,1.3959,2.3741,1775956100717179083,0
ecgclass,1,1,8.8743,8.9818,107.5265,107.5265,105.2324,104.1014,0.0017,1.3554,2.2941,1775956100824755266,0
ecgclass,1,1,8.9818,9.0894,107.5928,107.5928,105.2323,104.101,0.0017,1.3943,2.3605,1775956100932337199,0
ecgclass,1,1,9.0894,9.1971,107.646,107.646,105.2596,104.1189,0.0017,1.4162,2.3864,1775956101039967792,0
ecgclass,1,1,9.1971,9.3046,107.5392,107.5392,105.2442,104.1116,0.0018,1.3232,2.295,1775956101147537005,0
ecgclass,1,1,9.3047,9.4128,108.1741,108.1741,105.7701,104.1119,0.0019,1.4582,2.404,1775956101255227539,0
ecgclass,1,1,9.4129,9.5204,107.5375,107.5375,105.2277,104.0823,0.0018,1.343,2.3098,1775956101363320096,0
ecgclass,1,1,9.5204,9.6281,107.646,107.646,105.2518,104.0992,0.0018,1.4198,2.3942,1775956101470950522,0
ecgclass,1,1,9.6281,9.7356,107.5389,107.5389,105.2137,104.0861,0.0019,1.3592,2.3252,1775956101578552131,0
