req_id,req_time,site_manager,device,backbone,task,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
0,0.010622022184064677,site2,site2,chronostiny,ecgclass,375.63109397888184,331.7391872406006,0.029087066650390625,0.0,0.0
1,0.011456192298916779,site2,site2,chronostiny,gestureclass,7.220029830932617,4.615068435668945,0.0035762786865234375,4.0,4.0
2,0.01423126325376919,site2,site2,chronostiny,gestureclass,6.455421447753906,3.912210464477539,0.001430511474609375,4.0,4.0
3,0.02908928789773814,site2,site2,chronostiny,gestureclass,6.049633026123047,3.829479217529297,0.001430511474609375,4.0,4.0
4,0.0366115921974271,site2,site2,chronostiny,ecgclass,6.3343048095703125,3.8373470306396484,0.0026226043701171875,0.0,0.0
5,0.06291818774600126,site2,site2,chronostiny,ecgclass,6.085634231567383,3.8514137268066406,0.001430511474609375,0.0,0.0
6,0.06851749576744685,site2,site2,chronostiny,ecgclass,6.0024261474609375,3.842592239379883,0.001430511474609375,0.0,0.0
7,0.08890528105992178,site2,site2,chronostiny,gestureclass,6.06989860534668,3.8411617279052734,0.00286102294921875,4.0,4.0
8,0.09486467703371589,site2,site2,chronostiny,gestureclass,6.0138702392578125,3.8254261016845703,0.0011920928955078125,4.0,4.0
9,0.13361593784996328,site2,site2,chronostiny,gestureclass,6.116390228271484,3.8411617279052734,0.0011920928955078125,4.0,4.0
10,0.16576337692974386,site2,site2,chronostiny,ecgclass,6.079673767089844,3.864288330078125,0.00286102294921875,0.0,0.0
11,0.16975527589804157,site2,site2,chronostiny,gestureclass,6.155490875244141,3.869295120239258,0.00286102294921875,4.0,4.0
12,0.1914641508669824,site2,site2,chronostiny,gestureclass,6.243467330932617,3.9043426513671875,0.001430511474609375,4.0,4.0
13,0.21027736359174037,site2,site2,chronostiny,ecgclass,6.445646286010742,3.8595199584960938,0.00286102294921875,0.0,0.0
14,0.21264320326234648,site2,site2,chronostiny,ecgclass,6.154775619506836,3.853321075439453,0.0011920928955078125,0.0,0.0
15,0.22243259102745722,site2,site2,chronostiny,ecgclass,6.259679794311523,4.011631011962891,0.001430511474609375,0.0,0.0
16,0.22318718173241683,site2,site2,chronostiny,ecgclass,6.247758865356445,3.892183303833008,0.0016689300537109375,0.0,0.0
17,0.2413095010402559,site2,site2,chronostiny,gestureclass,6.226301193237305,3.885030746459961,0.00286102294921875,4.0,4.0
18,0.2432277170387372,site2,site2,chronostiny,ecgclass,6.255865097045898,3.883838653564453,0.00286102294921875,0.0,0.0
19,0.24396218803636383,site2,site2,chronostiny,ecgclass,6.134510040283203,3.893613815307617,0.001430511474609375,0.0,0.0
20,0.24907409653320592,site2,site2,chronostiny,gestureclass,6.159067153930664,3.895282745361328,0.003337860107421875,4.0,4.0
21,0.25767608700690775,site2,site2,chronostiny,ecgclass,6.148099899291992,3.8895606994628906,0.002384185791015625,0.0,0.0
22,0.27698057701594375,site2,site2,chronostiny,ecgclass,6.091117858886719,3.85284423828125,0.0011920928955078125,0.0,0.0
23,0.3135708812458672,site2,site2,chronostiny,ecgclass,6.134748458862305,3.8499832153320312,0.001430511474609375,0.0,0.0
24,0.31936000802662123,site2,site2,chronostiny,ecgclass,6.07609748840332,3.8492679595947266,0.001430511474609375,0.0,0.0
25,0.31998351769426725,site2,site2,chronostiny,gestureclass,6.094694137573242,3.843545913696289,0.00286102294921875,4.0,4.0
26,0.3338111468953454,site2,site2,chronostiny,ecgclass,6.026268005371094,3.816843032836914,0.0026226043701171875,0.0,0.0
27,0.3421392230693656,site2,site2,chronostiny,gestureclass,6.082773208618164,3.834962844848633,0.0021457672119140625,4.0,4.0
28,0.3480793271996198,site2,site2,chronostiny,gestureclass,6.014585494995117,3.8383007049560547,0.0011920928955078125,4.0,4.0
29,0.35177937366375023,site2,site2,chronostiny,ecgclass,6.03485107421875,3.821134567260742,0.0021457672119140625,0.0,0.0
30,0.3587589314542277,site2,site2,chronostiny,gestureclass,6.044864654541016,3.8361549377441406,0.0021457672119140625,4.0,4.0
31,0.3628940998861064,site2,site2,chronostiny,ecgclass,6.016254425048828,3.8192272186279297,0.002384185791015625,0.0,0.0
32,0.37704152663911367,site2,site2,chronostiny,ecgclass,6.014347076416016,3.826618194580078,0.0011920928955078125,0.0,0.0
33,0.384891820388211,site2,site2,chronostiny,gestureclass,6.066083908081055,3.854990005493164,0.0026226043701171875,4.0,4.0
34,0.40583516119133783,site2,site2,chronostiny,gestureclass,6.099462509155273,3.858327865600586,0.0016689300537109375,4.0,4.0
35,0.41367778901283175,site2,site2,chronostiny,gestureclass,6.1206817626953125,3.851175308227539,0.001430511474609375,4.0,4.0
36,0.4163993205835102,site2,site2,chronostiny,ecgclass,6.230354309082031,3.8623809814453125,0.0030994415283203125,0.0,0.0
37,0.43544357880876366,site2,site2,chronostiny,ecgclass,6.20269775390625,3.8864612579345703,0.0011920928955078125,0.0,0.0
