run_idx,backbone,task,batch_size,n_requests,device,backbone_load_time_ms,model_load_mem_mb,decoder_load_time_ms,decoder_load_mem_mb,avg_latency_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,backbone_mean_ms,decoder_mean_ms,peak_gpu_mem_mb,avg_gpu_mem_mb,throughput_rps,avg_batch_size,mixed_batch_fraction,batch_count,backbone_ms_per_sample
0,dinolarge-patch,nyudepth,1,200,NVIDIA L4,837.1198810000351,1217.8432,5.702943999494892,0.004608,24.761,23.472,23.908,23.998,11.9,12.692,1172.614,1172.614,40.386,1,0.0,200,11.8998
0,dinolarge-patch,nyudepth,2,200,NVIDIA L4,837.1198810000351,1217.8432,5.702943999494892,0.004608,39.197,38.98,40.758,40.961,11.368,27.642,1174.809,1174.809,51.025,2,0.0,200,5.6839
0,dinolarge-patch,nyudepth,4,200,NVIDIA L4,837.1198810000351,1217.8432,5.702943999494892,0.004608,84.448,84.512,86.163,86.961,11.779,72.446,1179.2,1179.2,47.366,4,0.0,200,2.9448
0,dinolarge-patch,nyudepth,8,200,NVIDIA L4,837.1198810000351,1217.8432,5.702943999494892,0.004608,176.442,176.391,178.738,180.762,13.067,163.129,1187.981,1187.981,45.341,8,0.0,200,1.6333
0,dinolarge-patch,nyudepth,16,200,NVIDIA L4,837.1198810000351,1217.8432,5.702943999494892,0.004608,339.657,339.325,343.121,344.443,13.06,326.331,1205.543,1205.543,47.106,16,0.0,200,0.8162
0,dinobase-patch,nyudepth,1,200,NVIDIA L4,3962.083349999375,347.122688,7.536086999607505,0.003584,9.952,8.618,8.799,8.915,6.739,3.058,340.865,340.865,100.486,1,0.0,200,6.7391
0,dinobase-patch,nyudepth,2,200,NVIDIA L4,3962.083349999375,347.122688,7.536086999607505,0.003584,12.944,12.818,13.089,13.263,6.117,6.647,343.553,343.553,154.517,2,0.0,200,3.0584
0,dinobase-patch,nyudepth,4,200,NVIDIA L4,3962.083349999375,347.122688,7.536086999607505,0.003584,22.798,22.632,22.905,23.144,6.523,16.06,346.436,346.436,175.454,4,0.0,200,1.6308
0,dinobase-patch,nyudepth,8,200,NVIDIA L4,3962.083349999375,347.122688,7.536086999607505,0.003584,43.732,43.596,44.52,44.832,7.454,36.041,353.17,353.17,182.931,8,0.0,200,0.9317
0,dinobase-patch,nyudepth,16,200,NVIDIA L4,3962.083349999375,347.122688,7.536086999607505,0.003584,95.516,95.094,97.295,99.087,8.533,86.715,366.28,366.28,167.511,16,0.0,200,0.5333
0,dinobase-patch,nyudepth,32,200,NVIDIA L4,3962.083349999375,347.122688,7.536086999607505,0.003584,203.276,202.614,207.93,211.528,11.606,191.363,393.764,393.764,157.421,32,0.0,200,0.3627
