task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,0,403,7.3273,136.774,136.684,138.176,139.02
ecgclass__app1,0,402,7.3091,136.784,136.691,139.527,141.395
ecgclass__app2,0,402,7.3091,136.792,136.726,139.654,140.753
ecgclass__app3,0,402,7.3091,136.781,136.719,139.691,141.066
ecgclass__app4,0,402,7.3091,136.784,136.676,139.624,140.941
ecgclass__app5,0,402,7.3091,136.789,136.795,139.567,141.242
ecgclass__app6,0,402,7.3091,136.79,136.717,139.468,141.353
ecgclass__app7,0,402,7.3091,136.782,136.778,139.649,141.489
ecgclass__app8,0,402,7.3091,136.787,136.839,139.361,141.133
ecgclass__app9,0,402,7.3091,136.781,136.728,139.812,140.575
