task,send_elapsed_s,latency_ms,server_exec_ms,worker_id,has_adapter
ecgclass,0.0002,1726.321,1722.075,0,0
ecgclass__app8,0.0020,1724.853,198.547,0,0
ecgclass__app7,0.0008,1726.222,198.690,0,0
ecgclass__app5,0.0007,1726.628,198.753,0,0
ecgclass__app9,0.0022,1725.334,198.820,0,0
ecgclass__app2,0.0005,1727.358,199.802,0,0
ecgclass__app6,0.0008,1727.180,199.887,0,0
ecgclass__app4,0.0006,1727.347,200.091,0,0
ecgclass__app1,0.0004,1727.906,200.492,0,0
ecgclass__app3,0.0006,1727.839,200.528,0,0
ecgclass,1.7266,27.398,25.097,0,0
ecgclass__app3,1.7284,128.748,103.822,0,0
ecgclass__app2,1.7279,130.630,104.779,0,0
ecgclass__app5,1.7273,131.267,104.944,0,0
ecgclass__app8,1.7269,131.960,105.077,0,0
ecgclass__app7,1.7270,132.268,105.742,0,0
ecgclass__app6,1.7279,131.737,105.945,0,0
ecgclass__app4,1.7280,131.781,105.978,0,0
ecgclass__app9,1.7275,133.508,107.756,0,0
ecgclass__app1,1.7283,132.775,107.787,0,0
ecgclass,1.7540,132.282,30.848,0,0
ecgclass__app3,1.8572,135.357,106.545,0,0
ecgclass__app9,1.8610,133.225,107.222,0,0
ecgclass__app4,1.8598,134.872,107.697,0,0
ecgclass__app7,1.8593,135.408,107.873,0,0
ecgclass__app1,1.8611,133.895,107.903,0,0
ecgclass__app5,1.8586,136.643,108.081,0,0
ecgclass__app6,1.8597,135.653,108.241,0,0
ecgclass__app2,1.8585,137.035,108.566,0,0
ecgclass__app8,1.8589,136.809,108.652,0,0
ecgclass,1.8863,135.957,30.625,0,0
ecgclass__app7,1.9947,134.497,107.647,0,0
ecgclass__app9,1.9943,135.508,107.918,0,0
ecgclass__app2,1.9955,134.593,108.113,0,0
ecgclass__app8,1.9957,134.642,108.172,0,0
ecgclass__app6,1.9953,136.022,109.577,0,0
ecgclass__app5,1.9953,137.164,110.811,0,0
