elapsed_s,allocated_mb,reserved_mb
0.00,442.5,474.0
0.50,442.7,476.0
1.00,443.6,476.0
1.50,442.7,476.0
2.00,444.0,476.0
2.50,442.7,476.0
3.00,444.4,476.0
3.50,442.7,476.0
4.00,442.7,476.0
4.50,443.4,476.0
5.00,442.7,476.0
5.50,445.4,476.0
6.01,443.3,476.0
6.51,442.9,476.0
7.01,443.4,476.0
7.51,442.7,476.0
8.01,443.3,476.0
8.51,444.9,476.0
9.01,442.7,476.0
9.51,443.3,476.0
10.01,444.6,476.0
10.51,442.7,476.0
11.01,443.4,476.0
11.51,443.1,476.0
12.01,442.7,476.0
12.51,444.9,476.0
13.01,442.7,476.0
13.51,442.5,476.0
14.01,444.4,476.0
14.51,442.7,476.0
15.01,442.7,476.0
15.51,443.3,476.0
16.01,442.7,476.0
16.51,442.7,476.0
17.01,443.1,476.0
17.52,443.6,476.0
18.02,442.7,476.0
18.52,444.0,476.0
19.02,443.4,476.0
19.52,442.7,476.0
20.02,443.4,476.0
20.52,443.6,476.0
21.02,442.7,476.0
21.52,443.6,476.0
22.02,444.6,476.0
22.52,442.7,476.0
23.02,443.6,476.0
23.52,443.6,476.0
24.02,444.4,476.0
24.52,442.7,476.0
25.02,444.0,476.0
25.52,444.4,476.0
26.02,442.7,476.0
26.52,444.4,476.0
27.02,443.3,476.0
27.52,442.7,476.0
28.02,444.6,476.0
28.52,444.0,476.0
29.03,442.7,476.0
29.53,442.9,476.0
30.03,443.6,476.0
30.53,443.9,476.0
31.03,442.7,476.0
31.53,444.4,476.0
32.03,443.6,476.0
32.53,442.7,476.0
33.03,443.6,476.0
33.53,445.1,476.0
34.03,444.4,476.0
34.53,442.7,476.0
35.03,443.6,476.0
35.53,443.1,476.0
36.03,442.7,476.0
36.53,444.0,476.0
37.03,444.4,476.0
37.53,445.4,476.0
38.03,442.7,476.0
38.53,443.3,476.0
39.03,443.9,476.0
39.53,442.7,476.0
40.03,442.9,476.0
40.53,443.8,476.0
41.04,443.6,476.0
41.54,442.7,476.0
42.04,443.8,476.0
42.54,444.6,476.0
43.04,442.7,476.0
43.54,443.3,476.0
44.04,443.8,476.0
44.54,443.9,476.0
45.04,442.7,476.0
45.54,444.4,476.0
46.04,443.6,476.0
46.54,443.3,476.0
47.04,442.7,476.0
47.54,444.4,476.0
48.04,443.9,476.0
48.54,442.7,476.0
49.04,442.5,476.0
49.54,444.4,476.0
50.04,445.1,476.0
50.54,444.4,476.0
51.04,442.7,476.0
51.54,443.4,476.0
52.04,443.4,476.0
52.55,442.7,476.0
53.05,442.7,476.0
53.55,443.8,476.0
54.05,443.4,476.0
54.55,442.7,476.0
55.05,442.5,476.0
55.55,445.4,476.0
56.05,444.6,476.0
56.55,442.7,476.0
57.05,443.3,476.0
57.55,443.8,476.0
58.05,443.3,476.0
58.55,442.7,476.0
59.05,444.4,476.0
59.55,444.9,476.0
