task,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms
ecgclass,400,7.2727,137.402,137.341,140.116,141.503,110.636
ecgclass__app1,400,7.2727,137.403,137.36,140.428,141.466,110.623
ecgclass__app2,400,7.2727,137.4,137.398,140.086,141.057,110.716
ecgclass__app3,400,7.2727,137.404,137.51,140.192,141.83,110.703
ecgclass__app4,400,7.2727,137.401,137.303,140.065,141.732,110.666
ecgclass__app5,400,7.2727,137.398,137.272,140.337,141.469,110.771
ecgclass__app6,400,7.2727,137.402,137.441,140.102,141.337,110.633
ecgclass__app7,400,7.2727,137.4,137.453,140.169,141.645,110.596
ecgclass__app8,400,7.2727,137.4,137.303,140.754,141.866,110.658
ecgclass__app9,400,7.2727,137.398,137.352,138.622,139.74,31.315
