task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,1,343,6.2364,160.44,160.457,163.583,165.074
ecgclass__app1,1,343,6.2364,160.442,160.423,163.182,164.204
ecgclass__app2,0,343,6.2364,160.436,160.312,163.475,165.105
ecgclass__app3,0,343,6.2364,160.445,160.366,163.205,164.484
ecgclass__app4,0,343,6.2364,160.444,160.36,163.537,165.268
ecgclass__app5,0,343,6.2364,160.443,160.426,163.345,164.428
ecgclass__app6,0,343,6.2364,160.438,160.445,163.546,164.565
ecgclass__app7,0,343,6.2364,160.44,160.405,163.451,164.592
ecgclass__app8,0,343,6.2364,160.446,160.261,163.794,165.147
ecgclass__app9,0,343,6.2364,160.427,160.438,162.32,163.113
