task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,30.0,257,32.125,254.737,260.194,457.465,493.234,85.831,83.245,0.003,0.723,168.265,0.0,168.907
gestureclass,fifo,50.0,379,47.375,2267.134,2488.87,2964.968,3020.509,73.025,71.021,0.003,0.444,2193.435,0.0,2194.11
