req_id,req_time,site_manager,device,backbone,task,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
0,0.008280051438046152,site2,10.100.20.49:8001,chronostiny,ecgclass,360.29,329.20,0.01,0.0,0.0
1,0.0182800966818547,site2,10.100.20.48:8001,chronostiny,gestureclass,373.93,360.14,0.01,4.0,4.0
2,0.018294829639545995,site2,10.100.20.48:8001,chronostiny,gestureclass,7.68,4.63,0.00,4.0,4.0
3,0.01956606390970664,site2,10.100.20.48:8001,chronostiny,gestureclass,6.19,3.97,0.00,4.0,4.0
4,0.025620487145894225,site2,10.100.20.49:8001,chronostiny,ecgclass,8.34,5.00,0.00,0.0,0.0
5,0.02818325608475186,site2,10.100.20.49:8001,chronostiny,ecgclass,6.53,3.88,0.00,0.0,0.0
6,0.03367560440149168,site2,10.100.20.49:8001,chronostiny,ecgclass,6.08,3.90,0.00,0.0,0.0
7,0.04007401879142761,site2,10.100.20.48:8001,chronostiny,gestureclass,6.50,4.04,0.00,4.0,4.0
8,0.04202241614063825,site2,10.100.20.48:8001,chronostiny,gestureclass,6.45,3.87,0.00,4.0,4.0
9,0.04350474682287048,site2,10.100.20.48:8001,chronostiny,gestureclass,6.05,3.83,0.00,4.0,4.0
10,0.045530629436420014,site2,10.100.20.49:8001,chronostiny,ecgclass,6.55,4.05,0.00,0.0,0.0
11,0.049056764366303275,site2,10.100.20.48:8001,chronostiny,gestureclass,6.18,3.94,0.00,4.0,4.0
12,0.05058188541567778,site2,10.100.20.48:8001,chronostiny,gestureclass,6.11,3.87,0.00,4.0,4.0
13,0.055553894842011356,site2,10.100.20.49:8001,chronostiny,ecgclass,6.37,4.02,0.00,0.0,0.0
14,0.06336500159051328,site2,10.100.20.49:8001,chronostiny,ecgclass,6.29,3.84,0.00,0.0,0.0
15,0.06447073236745302,site2,10.100.20.49:8001,chronostiny,ecgclass,6.21,3.88,0.00,0.0,0.0
16,0.07564443696918896,site2,10.100.20.49:8001,chronostiny,ecgclass,6.14,3.85,0.00,0.0,0.0
17,0.07889370886400396,site2,10.100.20.48:8001,chronostiny,gestureclass,6.85,4.08,0.00,4.0,4.0
18,0.08591077073948081,site2,10.100.20.49:8001,chronostiny,ecgclass,6.28,3.92,0.00,0.0,0.0
19,0.08627650942665015,site2,10.100.20.49:8001,chronostiny,ecgclass,6.07,3.85,0.00,0.0,0.0
20,0.0872421191674023,site2,10.100.20.48:8001,chronostiny,gestureclass,6.40,3.97,0.00,4.0,4.0
21,0.08853266000450181,site2,10.100.20.49:8001,chronostiny,ecgclass,6.21,3.92,0.00,0.0,0.0
22,0.08973504246271016,site2,10.100.20.49:8001,chronostiny,ecgclass,6.07,3.83,0.00,0.0,0.0
23,0.09036362397400019,site2,10.100.20.49:8001,chronostiny,ecgclass,6.04,3.85,0.00,0.0,0.0
24,0.09711854679416883,site2,10.100.20.49:8001,chronostiny,ecgclass,6.11,3.84,0.00,0.0,0.0
25,0.09892633737392341,site2,10.100.20.48:8001,chronostiny,gestureclass,6.56,4.07,0.00,4.0,4.0
26,0.10992754680507427,site2,10.100.20.49:8001,chronostiny,ecgclass,6.18,3.95,0.00,0.0,0.0
27,0.11284688838285398,site2,10.100.20.48:8001,chronostiny,gestureclass,6.19,3.88,0.00,4.0,4.0
28,0.1133434148065887,site2,10.100.20.48:8001,chronostiny,gestureclass,6.04,3.81,0.00,4.0,4.0
29,0.11597490884902566,site2,10.100.20.49:8001,chronostiny,ecgclass,6.31,3.98,0.00,0.0,0.0
30,0.132784652649653,site2,10.100.20.48:8001,chronostiny,gestureclass,6.17,3.87,0.00,4.0,4.0
31,0.13556066601228006,site2,10.100.20.49:8001,chronostiny,ecgclass,6.33,3.94,0.00,0.0,0.0
32,0.13556690299406562,site2,10.100.20.49:8001,chronostiny,ecgclass,6.16,3.85,0.00,0.0,0.0
33,0.1445810895347169,site2,10.100.20.48:8001,chronostiny,gestureclass,6.41,3.94,0.00,4.0,4.0
34,0.14547356094630373,site2,10.100.20.48:8001,chronostiny,gestureclass,6.11,3.84,0.00,4.0,4.0
35,0.14936172499091555,site2,10.100.20.48:8001,chronostiny,gestureclass,6.14,3.83,0.00,4.0,4.0
36,0.1517742972230898,site2,10.100.20.49:8001,chronostiny,ecgclass,6.62,4.06,0.00,0.0,0.0
37,0.15308658188107138,site2,10.100.20.49:8001,chronostiny,ecgclass,6.05,3.83,0.00,0.0,0.0
38,0.15419383790888253,site2,10.100.20.48:8001,chronostiny,gestureclass,6.31,3.98,0.00,4.0,4.0
39,0.16299950087743859,site2,10.100.20.49:8001,chronostiny,ecgclass,6.29,3.93,0.00,0.0,0.0
40,0.17109808996758624,site2,10.100.20.49:8001,chronostiny,ecgclass,6.03,3.85,0.00,0.0,0.0
41,0.17349731687824668,site2,10.100.20.49:8001,chronostiny,ecgclass,6.10,3.86,0.00,0.0,0.0
42,0.1744942290050432,site2,10.100.20.49:8001,chronostiny,ecgclass,6.07,3.85,0.00,0.0,0.0
43,0.17485411622299457,site2,10.100.20.48:8001,chronostiny,gestureclass,6.61,4.02,0.00,4.0,4.0
44,0.17542173600886268,site2,10.100.20.49:8001,chronostiny,ecgclass,6.18,3.93,0.00,0.0,0.0
45,0.17788397370250772,site2,10.100.20.48:8001,chronostiny,gestureclass,6.16,3.88,0.00,4.0,4.0
46,0.17911038580864927,site2,10.100.20.49:8001,chronostiny,ecgclass,6.19,3.90,0.00,0.0,0.0
47,0.1792536479194786,site2,10.100.20.48:8001,chronostiny,gestureclass,9.68,7.23,0.00,4.0,4.0
48,0.18127790345449146,site2,10.100.20.48:8001,chronostiny,gestureclass,6.60,3.89,0.00,4.0,4.0
49,0.18584845857355775,site2,10.100.20.49:8001,chronostiny,ecgclass,6.68,4.01,0.00,0.0,0.0
50,0.19325780866912334,site2,10.100.20.48:8001,chronostiny,gestureclass,6.27,3.92,0.00,4.0,4.0
51,0.19619168013752883,site2,10.100.20.48:8001,chronostiny,gestureclass,6.07,3.84,0.00,4.0,4.0
52,0.20047432323081044,site2,10.100.20.48:8001,chronostiny,gestureclass,6.04,3.83,0.00,4.0,4.0
53,0.20198321498090344,site2,10.100.20.48:8001,chronostiny,gestureclass,5.99,3.83,0.00,4.0,4.0
54,0.20426872064897758,site2,10.100.20.48:8001,chronostiny,gestureclass,6.02,3.81,0.00,4.0,4.0
55,0.2086285615195071,site2,10.100.20.48:8001,chronostiny,gestureclass,6.17,3.82,0.00,4.0,4.0
56,0.2129642198009383,site2,10.100.20.49:8001,chronostiny,ecgclass,7.06,4.27,0.00,0.0,0.0
