task,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms
ecgclass,190,3.4545,289.543,289.686,294.803,298.676,287.789
ecgclass__app1,190,3.4545,289.538,289.595,294.822,296.034,287.724
ecgclass__app2,190,3.4545,289.14,289.315,293.941,294.733,287.311
ecgclass__app3,190,3.4545,289.534,289.643,294.405,295.656,287.753
ecgclass__app4,190,3.4545,289.364,289.262,294.5,297.617,287.551
ecgclass__app5,190,3.4545,289.529,289.786,293.433,296.969,287.766
ecgclass__app6,190,3.4545,289.411,289.519,294.305,295.577,287.681
ecgclass__app7,191,3.4727,288.851,289.289,293.185,295.904,287.073
