task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth__app1,no_sharing,1172,1.9864,109.102,82.883,281.11,463.709,91.364,86.983,0.003,3.529,14.385,0.0,17.738
vocseg__app1,no_sharing,1250,2.1186,150.495,119.967,353.425,578.091,125.197,117.812,0.003,5.061,21.654,0.0,25.298
nyudepth__app2,no_sharing,1250,2.1186,148.804,118.392,355.39,578.241,124.337,117.677,0.003,4.623,20.801,0.0,24.467
vocseg__app2,no_sharing,1196,2.0271,147.726,121.48,332.006,554.514,122.124,115.772,0.003,5.113,21.895,0.0,25.602
nyudepth__app3,no_sharing,1196,2.0271,146.52,120.288,328.734,559.056,120.941,115.178,0.003,4.569,21.889,0.0,25.58
vocseg__app3,no_sharing,1201,2.0356,145.381,115.44,342.191,577.036,121.54,115.432,0.003,4.999,20.074,0.0,23.841
nyudepth__app4,no_sharing,1201,2.0356,144.444,114.435,341.254,574.545,121.1,115.468,0.003,4.502,19.617,0.0,23.344
vocseg__app4,no_sharing,1176,1.9932,150.795,122.215,363.561,537.56,125.152,119.264,0.003,4.923,21.92,0.0,25.643
nyudepth__app5,no_sharing,1176,1.9932,149.606,119.746,364.121,537.747,124.337,118.95,0.003,4.418,21.552,0.0,25.269
vocseg__app5,no_sharing,1251,2.1203,105.899,77.981,269.154,427.746,88.363,83.892,0.002,3.578,14.15,0.0,17.536
