task,device_url,n_requests,throughput_rps,avg_latency_ms
etth1fore,10.100.31.64:8003,313,5.216666666666667,155.96588808126725
eclfore,10.100.31.64:8002,344,5.733333333333333,154.66138651204665
ecgclass,10.100.31.64:8000,367,6.116666666666666,159.4344952450786
gestureclass,10.100.31.64:8001,347,5.783333333333333,156.1875116584624
