task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,no_sharing_mps,315,1.0862,59.493,53.558,88.222,96.4,55.672,54.083,0.003,1.162,2.86,3.822
gestureclass,no_sharing_mps,315,1.0862,60.156,55.436,90.647,94.388,55.445,53.918,0.003,1.107,3.774,4.711
