task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,no_sharing_tpc,1378,2.3356,34811.068,34464.05,57488.415,59571.058,2783.739,2780.383,0.002,0.064,32019.133,0.0,32027.329
gestureclass,no_sharing_tpc,1305,2.2119,35536.515,34936.091,57625.96,59512.69,2770.96,2767.596,0.003,0.063,32762.026,0.0,32765.555
