task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,sharing,197,19.7,33.038,30.45,55.541,59.925
gestureclass,sharing,197,19.7,33.876,32.184,55.062,64.057
