wall_time_s,queue_size,num_completed,mean_queue_delay_us,delta_queue_duration_us
10.0,0,0,0.0,0.0
15.0,0,0,0.0,0.0
20.0,0,0,0.0,0.0
25.0,0,0,0.0,0.0
30.0,0,19,6159.3,117026.0
35.0,0,50,74.9,3747.0
40.0,0,50,91.5,4577.0
45.0,0,50,81.6,4079.0
50.0,0,50,78.2,3910.0
55.0,0,50,74.5,3725.0
60.0,0,50,69.5,3474.0
65.0,0,50,71.2,3559.0
70.0,0,50,65.6,3281.0
75.0,0,50,67.6,3381.0
80.0,0,50,61.8,3089.0
85.0,0,50,60.9,3045.0
90.0,0,64,14491.0,927424.0
95.0,0,90,1182.6,106434.0
100.0,0,90,1187.7,106894.0
105.0,0,90,1053.5,94812.0
110.0,0,90,1009.7,90874.0
115.0,0,90,965.6,86905.0
120.0,0,90,902.4,81214.0
125.0,0,90,847.3,76258.0
130.0,0,90,792.3,71305.0
135.0,0,90,761.8,68565.0
140.0,0,90,743.7,66934.0
145.0,0,90,809.3,72834.0
150.0,0,100,1396.6,139662.0
155.0,0,115,899.6,103459.0
160.0,0,115,987.0,113509.0
165.0,0,115,1156.9,133041.0
170.0,0,115,1202.7,138310.0
175.0,0,115,1299.1,149398.0
180.0,0,115,1407.6,161876.0
185.0,0,115,1668.4,191867.0
190.0,0,115,1942.2,223354.0
195.0,0,115,2218.1,255085.0
200.0,0,115,2465.6,283547.0
205.0,0,115,2918.4,335619.0
210.0,4,129,19847.2,2560284.0
215.0,0,170,5556.8,944657.0
220.0,0,165,3349.7,552705.0
225.0,0,165,3414.7,563420.0
230.0,0,165,3101.8,511793.0
235.0,0,165,2882.0,475533.0
240.1,0,165,2721.0,448965.0
245.1,0,165,2590.0,427356.0
250.1,0,165,2380.5,392786.0
255.1,0,164,2045.4,335451.0
260.1,0,165,1996.4,329410.0
265.1,0,165,2137.2,352631.0
270.1,0,175,3425.9,599538.0
275.1,0,190,2023.0,384375.0
280.1,0,190,2033.3,386318.0
285.1,0,190,2082.3,395629.0
290.1,0,190,2313.4,439549.0
295.1,0,190,2778.5,527913.0
300.1,0,190,3236.7,614967.0
305.1,0,190,3678.2,698854.0
310.1,0,190,4110.4,780973.0
315.1,0,190,3819.8,725770.0
320.1,0,190,3606.9,685310.0
325.1,0,190,3429.8,651655.0
330.1,3,199,37826.7,7527513.0
335.1,2,227,19067.0,4328204.0
340.1,2,228,18969.6,4325058.0
345.1,0,231,19563.0,4519046.0
350.1,2,224,26360.7,5904798.0
355.1,3,227,18331.0,4161134.0
360.1,3,224,17143.5,3840136.0
365.1,3,228,17464.1,3981806.0
370.1,3,227,15261.3,3464304.0
375.1,3,227,14714.0,3340083.0
380.1,3,226,14345.5,3242075.0
385.1,2,228,14190.5,3235437.0
390.1,1,224,12102.4,2710943.0
395.1,1,222,12240.6,2717417.0
400.1,1,228,13940.3,3178381.0
405.1,1,227,13520.1,3069067.0
410.1,1,230,14701.2,3381279.0
415.1,1,226,14146.3,3197063.0
420.1,0,227,12767.8,2898297.0
425.1,0,229,14873.7,3406075.0
430.1,0,224,14895.6,3336624.0
435.1,0,228,15392.7,3509546.0
440.1,0,229,16145.3,3697265.0
445.1,0,228,17338.2,3953111.0
450.1,0,229,18479.6,4231839.0
455.1,0,227,18694.0,4243543.0
460.1,0,225,18060.1,4063519.0
465.1,0,223,17920.5,3996271.0
470.1,0,226,18061.1,4081819.0
475.1,0,229,20033.6,4587687.0
480.1,0,223,20450.4,4560429.0
485.1,0,226,22407.2,5064018.0
490.1,0,229,24560.0,5624239.0
495.1,0,228,24826.7,5660483.0
500.1,1,225,26816.2,6033635.0
505.1,1,228,28422.5,6480323.0
510.1,0,143,25155.5,3597235.0
515.1,0,0,0.0,0.0
520.1,0,0,0.0,0.0
525.1,0,0,0.0,0.0
530.1,0,0,0.0,0.0
