task,device,t_center,count,throughput_rps,p50_ms,p99_ms
nyudepth,192.168.245.191:8010,64.5,3,3.0,62.91508674621582,71.74963474273682
nyudepth,192.168.245.191:8010,65.5,3,3.0,62.155961990356445,62.21787929534912
nyudepth,192.168.245.191:8010,66.5,3,3.0,62.661170959472656,64.842529296875
nyudepth,192.168.245.191:8010,67.5,6,6.0,63.057661056518555,63.20697069168091
nyudepth,192.168.245.191:8010,68.5,5,5.0,63.05503845214844,102.31375694274902
nyudepth,192.168.245.191:8010,69.5,5,5.0,62.43324279785156,66.11302375793457
nyudepth,192.168.245.191:8010,70.5,3,3.0,62.088727951049805,62.965850830078125
nyudepth,192.168.245.191:8010,71.5,4,4.0,62.86919116973877,66.54983758926392
nyudepth,192.168.245.191:8010,72.5,2,2.0,65.37580490112305,68.3193302154541
nyudepth,192.168.245.191:8010,73.5,3,3.0,61.30647659301758,62.711181640625
nyudepth,192.168.245.191:8010,74.5,11,11.0,58.844804763793945,86.84673309326172
nyudepth,192.168.245.191:8010,75.5,4,4.0,62.371134757995605,62.581946849823
nyudepth,192.168.245.191:8010,76.5,7,7.0,57.74974822998047,78.69660854339598
nyudepth,192.168.245.191:8010,77.5,6,6.0,60.510993003845215,90.95451831817627
nyudepth,192.168.245.191:8010,78.5,4,4.0,62.32595443725586,90.68918228149413
nyudepth,192.168.245.191:8010,79.5,2,2.0,48.506855964660645,56.92912817001343
nyudepth,192.168.245.191:8010,80.5,4,4.0,45.107126235961914,59.86218929290771
nyudepth,192.168.245.191:8010,81.5,6,6.0,60.267090797424316,63.32434415817261
nyudepth,192.168.245.191:8010,82.5,6,6.0,58.25936794281006,79.17228937149048
nyudepth,192.168.245.191:8010,83.5,3,3.0,61.40899658203125,62.742905616760254
nyudepth,192.168.245.191:8010,84.5,9,9.0,61.90013885498047,103.50013732910156
nyudepth,192.168.245.191:8010,85.5,9,9.0,89.62297439575195,125.11953353881837
nyudepth,192.168.245.191:8010,86.5,7,7.0,50.57358741760254,61.04287147521973
nyudepth,192.168.245.191:8010,87.5,4,4.0,68.15683841705322,82.42023468017578
nyudepth,192.168.245.191:8010,88.5,2,2.0,39.97492790222168,40.67587852478027
nyudepth,192.168.245.191:8010,89.5,8,8.0,52.91092395782471,66.32002830505371
nyudepth,192.168.245.191:8010,90.5,3,3.0,61.60449981689453,115.07277965545656
nyudepth,192.168.245.191:8010,91.5,5,5.0,62.19744682312012,106.00437164306639
nyudepth,192.168.245.191:8010,92.5,6,6.0,61.089515686035156,62.2165322303772
nyudepth,192.168.245.191:8010,93.5,3,3.0,44.85106468200684,57.3015832901001
nyudepth,192.168.245.191:8010,94.5,5,5.0,63.55929374694824,105.84479331970215
nyudepth,192.168.245.191:8010,95.5,4,4.0,44.20924186706543,60.48979520797729
nyudepth,192.168.245.191:8010,96.5,8,8.0,54.903268814086914,94.63476657867432
nyudepth,192.168.245.191:8010,97.5,6,6.0,59.83614921569824,61.931419372558594
nyudepth,192.168.245.191:8010,98.5,6,6.0,45.86195945739746,58.37597846984864
nyudepth,192.168.245.191:8010,99.5,7,7.0,52.07681655883789,62.70071506500245
nyudepth,192.168.245.191:8010,100.5,5,5.0,62.07871437072754,82.49635696411133
nyudepth,192.168.245.191:8010,101.5,7,7.0,63.683271408081055,95.40176391601561
nyudepth,192.168.245.191:8010,102.5,6,6.0,61.39826774597168,62.88535594940186
nyudepth,192.168.245.191:8010,103.5,5,5.0,41.54181480407715,64.18938636779785
nyudepth,192.168.245.191:8010,104.5,5,5.0,62.02101707458496,66.22513771057129
nyudepth,192.168.245.191:8010,105.5,3,3.0,59.48591232299805,61.4616584777832
nyudepth,192.168.245.191:8010,106.5,3,3.0,64.45097923278809,87.12252616882324
nyudepth,192.168.245.191:8010,107.5,5,5.0,57.85632133483887,76.41354560852051
nyudepth,192.168.245.191:8010,108.5,5,5.0,57.14058876037598,63.41676712036133
nyudepth,192.168.245.191:8010,109.5,8,8.0,59.35204029083252,87.03318357467651
nyudepth,192.168.245.191:8010,110.5,6,6.0,48.506736755371094,59.98810529708862
nyudepth,192.168.245.191:8010,111.5,7,7.0,64.5747184753418,107.62033939361571
nyudepth,192.168.245.191:8010,112.5,4,4.0,54.79860305786133,62.03825235366821
nyudepth,192.168.245.191:8010,113.5,3,3.0,46.12207412719727,62.53810405731201
nyudepth,192.168.245.191:8010,114.5,3,3.0,52.69265174865723,61.7578125
nyudepth,192.168.245.191:8010,115.5,6,6.0,59.11517143249512,62.610721588134766
nyudepth,192.168.245.191:8010,116.5,2,2.0,55.027008056640625,65.79174041748047
nyudepth,192.168.245.191:8010,117.5,3,3.0,66.20073318481445,82.87214279174805
nyudepth,192.168.245.191:8010,118.5,5,5.0,62.42847442626953,72.0387077331543
