run_idx,device,backbone,task,batch_size,req_idx,latency_ms,backbone_ms,decoder_ms,gpu_peak_mb
0,NVIDIA A16,momentbase,ecgclass,1,61,9.587,9.1813,0.2615,443.067
0,NVIDIA A16,momentbase,ecgclass,1,62,10.1355,9.1802,0.2665,443.067
0,NVIDIA A16,momentbase,ecgclass,1,63,9.6002,9.204,0.2507,443.067
0,NVIDIA A16,momentbase,ecgclass,1,64,9.6161,9.2207,0.2619,443.067
0,NVIDIA A16,momentbase,ecgclass,1,65,9.595,9.2106,0.2485,443.067
0,NVIDIA A16,momentbase,ecgclass,1,66,9.5854,9.1966,0.2543,443.067
0,NVIDIA A16,momentbase,ecgclass,1,67,9.613,9.2264,0.2512,443.067
0,NVIDIA A16,momentbase,ecgclass,1,68,9.5568,9.1574,0.2634,443.067
0,NVIDIA A16,momentbase,ecgclass,1,69,9.5754,9.1851,0.2503,443.067
0,NVIDIA A16,momentbase,ecgclass,1,70,9.5398,9.1444,0.2563,443.067
0,NVIDIA A16,momentbase,ecgclass,1,71,9.5462,9.1445,0.26,443.067
0,NVIDIA A16,momentbase,ecgclass,1,72,9.8372,9.1503,0.5424,443.067
0,NVIDIA A16,momentbase,ecgclass,1,73,9.5101,9.1206,0.2564,443.067
0,NVIDIA A16,momentbase,ecgclass,1,74,9.5,9.1164,0.2513,443.067
0,NVIDIA A16,momentbase,ecgclass,1,75,9.4668,9.0794,0.2493,443.067
0,NVIDIA A16,momentbase,ecgclass,1,76,9.4669,9.0735,0.2595,443.067
0,NVIDIA A16,momentbase,ecgclass,1,77,9.4745,9.079,0.2588,443.067
0,NVIDIA A16,momentbase,ecgclass,1,78,9.4851,9.0792,0.262,443.067
0,NVIDIA A16,momentbase,ecgclass,1,79,9.5493,9.1236,0.2707,443.067
0,NVIDIA A16,momentbase,ecgclass,1,80,9.4304,9.0287,0.2592,443.067
0,NVIDIA A16,momentbase,ecgclass,1,81,9.4671,9.0636,0.2596,443.067
0,NVIDIA A16,momentbase,ecgclass,1,82,9.4926,9.0836,0.2647,443.067
0,NVIDIA A16,momentbase,ecgclass,1,83,9.7485,9.3579,0.2562,443.067
0,NVIDIA A16,momentbase,ecgclass,1,84,9.4757,9.0919,0.2509,443.067
0,NVIDIA A16,momentbase,ecgclass,1,85,9.4771,9.0928,0.249,443.067
0,NVIDIA A16,momentbase,ecgclass,1,86,9.5034,9.1017,0.262,443.067
0,NVIDIA A16,momentbase,ecgclass,1,87,9.4829,9.0852,0.2587,443.067
0,NVIDIA A16,momentbase,ecgclass,1,88,9.6242,9.2227,0.2663,443.067
0,NVIDIA A16,momentbase,ecgclass,1,89,9.6434,9.2452,0.2601,443.067
0,NVIDIA A16,momentbase,ecgclass,1,90,9.72,9.3207,0.262,443.067
0,NVIDIA A16,momentbase,ecgclass,1,91,9.7468,9.3433,0.2643,443.067
0,NVIDIA A16,momentbase,ecgclass,1,92,9.9338,9.5314,0.2617,443.067
0,NVIDIA A16,momentbase,ecgclass,1,93,10.2183,9.5416,0.2485,443.067
0,NVIDIA A16,momentbase,ecgclass,1,94,10.0055,9.6043,0.2654,443.067
0,NVIDIA A16,momentbase,ecgclass,1,95,9.9824,9.596,0.2519,443.067
0,NVIDIA A16,momentbase,ecgclass,1,96,9.9648,9.5616,0.267,443.067
0,NVIDIA A16,momentbase,ecgclass,1,97,9.9613,9.5722,0.2527,443.067
0,NVIDIA A16,momentbase,ecgclass,1,98,9.8921,9.4903,0.26,443.067
0,NVIDIA A16,momentbase,ecgclass,1,99,9.8977,9.4962,0.2599,443.067
0,NVIDIA A16,momentbase,ecgclass,1,100,9.8728,9.4372,0.2805,443.067
0,NVIDIA A16,momentbase,ecgclass,1,101,9.8986,9.4799,0.2693,443.067
0,NVIDIA A16,momentbase,ecgclass,1,102,9.7534,9.3385,0.2708,443.067
0,NVIDIA A16,momentbase,ecgclass,1,103,10.0178,9.3355,0.5405,443.067
0,NVIDIA A16,momentbase,ecgclass,1,104,9.6908,9.2885,0.2644,443.067
0,NVIDIA A16,momentbase,ecgclass,1,105,9.6719,9.2631,0.2655,443.067
0,NVIDIA A16,momentbase,ecgclass,1,106,9.61,9.2134,0.2578,443.067
0,NVIDIA A16,momentbase,ecgclass,1,107,9.6272,9.231,0.258,443.067
0,NVIDIA A16,momentbase,ecgclass,1,108,9.5968,9.1993,0.2596,443.067
0,NVIDIA A16,momentbase,ecgclass,1,109,9.5699,9.1712,0.2549,443.067
0,NVIDIA A16,momentbase,ecgclass,1,110,9.5802,9.1764,0.2628,443.067
0,NVIDIA A16,momentbase,ecgclass,1,111,9.5662,9.1594,0.2616,443.067
0,NVIDIA A16,momentbase,ecgclass,1,112,9.5919,9.183,0.2649,443.067
0,NVIDIA A16,momentbase,ecgclass,1,113,9.6379,9.2278,0.2678,443.067
0,NVIDIA A16,momentbase,ecgclass,1,114,9.8281,9.1369,0.2526,443.067
0,NVIDIA A16,momentbase,ecgclass,1,115,9.5593,9.1628,0.2581,443.067
0,NVIDIA A16,momentbase,ecgclass,1,116,9.5281,9.1386,0.2531,443.067
0,NVIDIA A16,momentbase,ecgclass,1,117,9.538,9.1514,0.2506,443.067
0,NVIDIA A16,momentbase,ecgclass,1,118,9.5376,9.1412,0.2574,443.067
0,NVIDIA A16,momentbase,ecgclass,1,119,9.5428,9.1292,0.2707,443.067
0,NVIDIA A16,momentbase,ecgclass,1,120,9.5747,9.1653,0.2566,443.067
0,NVIDIA A16,momentbase,ecgclass,1,121,9.6038,9.1905,0.2703,443.067
0,NVIDIA A16,momentbase,ecgclass,1,122,9.6368,9.2163,0.2719,443.067
0,NVIDIA A16,momentbase,ecgclass,1,123,9.6441,9.2309,0.2618,443.067
0,NVIDIA A16,momentbase,ecgclass,1,124,9.9451,9.2584,0.5425,443.067
0,NVIDIA A16,momentbase,ecgclass,1,125,9.628,9.2306,0.2573,443.067
0,NVIDIA A16,momentbase,ecgclass,1,126,9.7043,9.3069,0.2597,443.067
0,NVIDIA A16,momentbase,ecgclass,1,127,9.658,9.2613,0.2572,443.067
0,NVIDIA A16,momentbase,ecgclass,1,128,9.6527,9.2565,0.2606,443.067
0,NVIDIA A16,momentbase,ecgclass,1,129,9.656,9.2589,0.2583,443.067
0,NVIDIA A16,momentbase,ecgclass,1,130,9.7068,9.2921,0.269,443.067
0,NVIDIA A16,momentbase,ecgclass,1,131,9.6564,9.2559,0.2623,443.067
0,NVIDIA A16,momentbase,ecgclass,1,132,9.6333,9.2255,0.2617,443.067
0,NVIDIA A16,momentbase,ecgclass,1,133,9.6288,9.2205,0.2679,443.067
0,NVIDIA A16,momentbase,ecgclass,1,134,9.6352,9.2368,0.2552,443.067
0,NVIDIA A16,momentbase,ecgclass,1,135,9.9442,9.2501,0.2705,443.067
0,NVIDIA A16,momentbase,ecgclass,1,136,9.6097,9.2269,0.2497,443.067
0,NVIDIA A16,momentbase,ecgclass,1,137,9.6091,9.2186,0.2546,443.067
0,NVIDIA A16,momentbase,ecgclass,1,138,9.6184,9.2207,0.2588,443.067
0,NVIDIA A16,momentbase,ecgclass,1,139,9.6267,9.2195,0.2657,443.067
0,NVIDIA A16,momentbase,ecgclass,1,140,9.6424,9.2311,0.2652,443.067
0,NVIDIA A16,momentbase,ecgclass,1,141,9.7018,9.285,0.2731,443.067
0,NVIDIA A16,momentbase,ecgclass,1,142,9.6244,9.2066,0.2735,443.067
0,NVIDIA A16,momentbase,ecgclass,1,143,9.6177,9.2103,0.2621,443.067
0,NVIDIA A16,momentbase,ecgclass,1,144,9.588,9.1878,0.2576,443.067
0,NVIDIA A16,momentbase,ecgclass,1,145,9.9076,9.1825,0.5643,443.067
0,NVIDIA A16,momentbase,ecgclass,1,146,9.5673,9.179,0.2492,443.067
0,NVIDIA A16,momentbase,ecgclass,1,147,9.5461,9.1273,0.2775,443.067
0,NVIDIA A16,momentbase,ecgclass,1,148,9.5044,9.1127,0.2557,443.067
0,NVIDIA A16,momentbase,ecgclass,1,149,9.4899,9.0901,0.2537,443.067
0,NVIDIA A16,momentbase,ecgclass,1,150,9.5046,9.0965,0.2672,443.067
0,NVIDIA A16,momentbase,ecgclass,1,151,9.4925,9.0891,0.2607,443.067
0,NVIDIA A16,momentbase,ecgclass,1,152,9.4762,9.0798,0.2554,443.067
0,NVIDIA A16,momentbase,ecgclass,1,153,9.4676,9.0595,0.2642,443.067
0,NVIDIA A16,momentbase,ecgclass,1,154,9.4504,9.0427,0.261,443.067
0,NVIDIA A16,momentbase,ecgclass,1,155,9.5288,9.0978,0.2842,443.067
0,NVIDIA A16,momentbase,ecgclass,1,156,9.8374,9.4462,0.2574,443.067
0,NVIDIA A16,momentbase,ecgclass,1,157,9.4983,9.0997,0.2543,443.067
0,NVIDIA A16,momentbase,ecgclass,1,158,9.4942,9.0971,0.26,443.067
0,NVIDIA A16,momentbase,ecgclass,1,159,9.4948,9.1015,0.2529,443.067
0,NVIDIA A16,momentbase,ecgclass,1,160,9.5536,9.1416,0.2605,443.067
0,NVIDIA A16,momentbase,ecgclass,1,161,9.5425,9.1352,0.2676,443.067
0,NVIDIA A16,momentbase,ecgclass,1,162,9.5549,9.1456,0.2658,443.067
0,NVIDIA A16,momentbase,ecgclass,1,163,9.5455,9.1413,0.2599,443.067
0,NVIDIA A16,momentbase,ecgclass,1,164,9.525,9.1087,0.2658,443.067
0,NVIDIA A16,momentbase,ecgclass,1,165,9.5709,9.1523,0.2714,443.067
0,NVIDIA A16,momentbase,ecgclass,1,166,9.8419,9.1311,0.2663,443.067
0,NVIDIA A16,momentbase,ecgclass,1,167,9.5378,9.1466,0.2542,443.067
0,NVIDIA A16,momentbase,ecgclass,1,168,9.5264,9.1355,0.2523,443.067
0,NVIDIA A16,momentbase,ecgclass,1,169,9.5138,9.1229,0.2509,443.067
0,NVIDIA A16,momentbase,ecgclass,1,170,9.5137,9.1109,0.266,443.067
0,NVIDIA A16,momentbase,ecgclass,1,171,9.5296,9.1326,0.2567,443.067
0,NVIDIA A16,momentbase,ecgclass,1,172,9.5786,9.1742,0.2633,443.067
0,NVIDIA A16,momentbase,ecgclass,1,173,9.588,9.169,0.2659,443.067
0,NVIDIA A16,momentbase,ecgclass,1,174,9.5879,9.1701,0.2726,443.067
0,NVIDIA A16,momentbase,ecgclass,1,175,9.5955,9.1787,0.2659,443.067
0,NVIDIA A16,momentbase,ecgclass,1,176,9.9103,9.1817,0.5629,443.067
0,NVIDIA A16,momentbase,ecgclass,1,177,9.558,9.1747,0.2502,443.067
0,NVIDIA A16,momentbase,ecgclass,1,178,9.5769,9.1824,0.2581,443.067
0,NVIDIA A16,momentbase,ecgclass,1,179,9.5693,9.1762,0.2583,443.067
0,NVIDIA A16,momentbase,ecgclass,1,180,9.5833,9.1804,0.2588,443.067
0,NVIDIA A16,momentbase,ecgclass,1,181,9.5859,9.179,0.264,443.067
0,NVIDIA A16,momentbase,ecgclass,1,182,9.6647,9.2428,0.2659,443.067
0,NVIDIA A16,momentbase,ecgclass,1,183,9.6863,9.2843,0.2564,443.067
0,NVIDIA A16,momentbase,ecgclass,1,184,9.7148,9.3019,0.2688,443.067
0,NVIDIA A16,momentbase,ecgclass,1,185,9.6935,9.2787,0.2647,443.067
0,NVIDIA A16,momentbase,ecgclass,1,186,9.748,9.3266,0.2721,443.067
0,NVIDIA A16,momentbase,ecgclass,1,187,10.0995,9.3066,0.2572,443.067
0,NVIDIA A16,momentbase,ecgclass,1,188,9.7382,9.3356,0.2638,443.067
0,NVIDIA A16,momentbase,ecgclass,1,189,9.7636,9.3711,0.2547,443.067
0,NVIDIA A16,momentbase,ecgclass,1,190,9.7809,9.3696,0.2683,443.067
0,NVIDIA A16,momentbase,ecgclass,1,191,9.7812,9.3943,0.2494,443.067
0,NVIDIA A16,momentbase,ecgclass,1,192,9.8376,9.4289,0.2671,443.067
0,NVIDIA A16,momentbase,ecgclass,1,193,9.8656,9.468,0.2567,443.067
0,NVIDIA A16,momentbase,ecgclass,1,194,9.8328,9.4313,0.26,443.067
0,NVIDIA A16,momentbase,ecgclass,1,195,9.843,9.4334,0.2648,443.067
0,NVIDIA A16,momentbase,ecgclass,1,196,9.8679,9.4602,0.2626,443.067
0,NVIDIA A16,momentbase,ecgclass,1,197,10.1252,9.4445,0.5366,443.067
0,NVIDIA A16,momentbase,ecgclass,1,198,9.8349,9.4414,0.2576,443.067
0,NVIDIA A16,momentbase,ecgclass,1,199,9.8368,9.4438,0.2552,443.067
0,NVIDIA A16,momentbase,ecgclass,2,0,15.8005,15.0447,0.549,443.254
0,NVIDIA A16,momentbase,ecgclass,2,1,14.6771,14.0056,0.5145,443.254
0,NVIDIA A16,momentbase,ecgclass,2,2,14.8942,14.2033,0.5262,443.254
0,NVIDIA A16,momentbase,ecgclass,2,3,14.935,14.2526,0.509,443.254
0,NVIDIA A16,momentbase,ecgclass,2,4,15.0869,14.4102,0.5172,443.254
0,NVIDIA A16,momentbase,ecgclass,2,5,15.3941,14.4236,0.8012,443.254
0,NVIDIA A16,momentbase,ecgclass,2,6,15.1906,14.5342,0.4976,443.254
0,NVIDIA A16,momentbase,ecgclass,2,7,15.1422,14.4794,0.5057,443.254
0,NVIDIA A16,momentbase,ecgclass,2,8,15.1686,14.5071,0.4984,443.254
0,NVIDIA A16,momentbase,ecgclass,2,9,15.2246,14.539,0.5211,443.254
0,NVIDIA A16,momentbase,ecgclass,2,10,15.2483,14.5723,0.5152,443.254
0,NVIDIA A16,momentbase,ecgclass,2,11,15.1484,14.4638,0.5164,443.254
0,NVIDIA A16,momentbase,ecgclass,2,12,15.34,14.3736,0.7949,443.254
0,NVIDIA A16,momentbase,ecgclass,2,13,15.1017,14.4275,0.5104,443.254
0,NVIDIA A16,momentbase,ecgclass,2,14,15.1302,14.4739,0.4903,443.254
0,NVIDIA A16,momentbase,ecgclass,2,15,15.2059,14.5458,0.5003,443.254
0,NVIDIA A16,momentbase,ecgclass,2,16,15.1771,14.5039,0.5085,443.254
0,NVIDIA A16,momentbase,ecgclass,2,17,15.0906,14.4004,0.5214,443.254
0,NVIDIA A16,momentbase,ecgclass,2,18,15.3008,14.5902,0.5421,443.254
0,NVIDIA A16,momentbase,ecgclass,2,19,15.4659,14.5135,0.7812,443.254
0,NVIDIA A16,momentbase,ecgclass,2,20,15.1757,14.511,0.504,443.254
0,NVIDIA A16,momentbase,ecgclass,2,21,15.0858,14.4343,0.4892,443.254
0,NVIDIA A16,momentbase,ecgclass,2,22,15.1172,14.4429,0.5051,443.254
0,NVIDIA A16,momentbase,ecgclass,2,23,15.2282,14.5664,0.4984,443.254
0,NVIDIA A16,momentbase,ecgclass,2,24,15.2984,14.5816,0.546,443.254
0,NVIDIA A16,momentbase,ecgclass,2,25,15.138,14.442,0.528,443.254
0,NVIDIA A16,momentbase,ecgclass,2,26,15.4062,14.4393,0.4976,443.254
0,NVIDIA A16,momentbase,ecgclass,2,27,15.171,14.5239,0.4869,443.254
0,NVIDIA A16,momentbase,ecgclass,2,28,15.1396,14.4819,0.4935,443.254
0,NVIDIA A16,momentbase,ecgclass,2,29,15.227,14.548,0.5183,443.254
0,NVIDIA A16,momentbase,ecgclass,2,30,15.0792,14.4103,0.5042,443.254
0,NVIDIA A16,momentbase,ecgclass,2,31,15.0989,14.4079,0.524,443.254
0,NVIDIA A16,momentbase,ecgclass,2,32,15.2751,14.5858,0.514,443.254
0,NVIDIA A16,momentbase,ecgclass,2,33,15.5133,14.544,0.4959,443.254
0,NVIDIA A16,momentbase,ecgclass,2,34,15.0734,14.4165,0.4992,443.254
0,NVIDIA A16,momentbase,ecgclass,2,35,15.0717,14.4099,0.5001,443.254
0,NVIDIA A16,momentbase,ecgclass,2,36,15.236,14.5716,0.5027,443.254
0,NVIDIA A16,momentbase,ecgclass,2,37,15.3771,14.6974,0.5152,443.254
0,NVIDIA A16,momentbase,ecgclass,2,38,15.254,14.572,0.5105,443.254
0,NVIDIA A16,momentbase,ecgclass,2,39,15.1228,14.4289,0.5189,443.254
0,NVIDIA A16,momentbase,ecgclass,2,40,15.5208,14.5459,0.4994,443.254
0,NVIDIA A16,momentbase,ecgclass,2,41,15.2791,14.6181,0.4997,443.254
