regime,trial,seed,condition,admitted_before_failure,first_failure_n,placed_at_failure,censored,max_tasks
low,0,12345,fmaas,1985,1986,1985,False,2000
low,0,12345,no_sharing,309,310,309,False,2000
low,1,12346,fmaas,1915,1916,1915,False,2000
low,1,12346,no_sharing,313,314,313,False,2000
low,2,12347,fmaas,1947,1948,1947,False,2000
low,2,12347,no_sharing,297,298,297,False,2000
low,3,12348,fmaas,1891,1892,1891,False,2000
low,3,12348,no_sharing,337,338,337,False,2000
low,4,12349,fmaas,2000,,,True,2000
low,4,12349,no_sharing,308,309,308,False,2000
medium,0,1012345,fmaas,187,188,187,False,2000
medium,0,1012345,no_sharing,168,169,168,False,2000
medium,1,1012346,fmaas,203,204,203,False,2000
medium,1,1012346,no_sharing,187,188,187,False,2000
medium,2,1012347,fmaas,188,189,188,False,2000
medium,2,1012347,no_sharing,174,175,174,False,2000
medium,3,1012348,fmaas,180,181,180,False,2000
medium,3,1012348,no_sharing,164,165,164,False,2000
medium,4,1012349,fmaas,177,178,177,False,2000
medium,4,1012349,no_sharing,165,166,165,False,2000
high,0,2012345,fmaas,31,32,31,False,2000
high,0,2012345,no_sharing,25,26,25,False,2000
high,1,2012346,fmaas,37,38,37,False,2000
high,1,2012346,no_sharing,34,35,34,False,2000
high,2,2012347,fmaas,42,43,42,False,2000
high,2,2012347,no_sharing,38,39,38,False,2000
high,3,2012348,fmaas,34,35,34,False,2000
high,3,2012348,no_sharing,29,30,29,False,2000
high,4,2012349,fmaas,43,44,43,False,2000
high,4,2012349,no_sharing,37,38,37,False,2000
