regime,condition,successful_trials,capacity_mean,capacity_std,capacity_ci95_low,capacity_ci95_high,min_capacity,max_capacity,censored_trials
low,fmaas,5,1947.6,45.85629727747324,1907.4051832197233,1987.7948167802765,1891.0,2000.0,1
low,no_sharing,5,312.8,14.771594362153328,299.85212666110766,325.74787333889236,297.0,337.0,0
medium,fmaas,5,187.0,10.074720839804943,178.16911782436205,195.83088217563795,177.0,203.0,0
medium,no_sharing,5,171.6,9.44986772394196,163.31682572922674,179.88317427077325,164.0,187.0,0
high,fmaas,5,37.4,5.128352561983234,32.90480078305755,41.895199216942444,31.0,43.0,0
high,no_sharing,5,32.6,5.504543577809153,27.775054818964264,37.42494518103574,25.0,38.0,0
