regime,trial,seed,prefix_n,condition,placed_count,all_placed,first_failure_n,error
low,0,12345,1,fmaas,1,True,,
low,0,12345,1,no_sharing,1,True,,
low,0,12345,2,fmaas,2,True,,
low,0,12345,2,no_sharing,2,True,,
low,0,12345,3,fmaas,3,True,,
low,0,12345,3,no_sharing,3,True,,
low,0,12345,4,fmaas,4,True,,
low,0,12345,4,no_sharing,4,True,,
low,0,12345,5,fmaas,5,True,,
low,0,12345,5,no_sharing,5,True,,
low,0,12345,6,fmaas,6,True,,
low,0,12345,6,no_sharing,6,True,,
low,0,12345,7,fmaas,7,True,,
low,0,12345,7,no_sharing,7,True,,
low,0,12345,8,fmaas,8,True,,
low,0,12345,8,no_sharing,8,True,,
low,0,12345,9,fmaas,9,True,,
low,0,12345,9,no_sharing,9,True,,
low,0,12345,10,fmaas,10,True,,
low,0,12345,10,no_sharing,10,True,,
low,0,12345,11,fmaas,11,True,,
low,0,12345,11,no_sharing,11,True,,
low,0,12345,12,fmaas,12,True,,
low,0,12345,12,no_sharing,12,True,,
low,0,12345,13,fmaas,13,True,,
low,0,12345,13,no_sharing,13,True,,
low,0,12345,14,fmaas,14,True,,
low,0,12345,14,no_sharing,14,True,,
low,0,12345,15,fmaas,15,True,,
low,0,12345,15,no_sharing,15,True,,
low,0,12345,16,fmaas,16,True,,
low,0,12345,16,no_sharing,16,True,,
low,0,12345,17,fmaas,17,True,,
low,0,12345,17,no_sharing,17,True,,
low,0,12345,18,fmaas,18,True,,
low,0,12345,18,no_sharing,18,True,,
low,0,12345,19,fmaas,19,True,,
low,0,12345,19,no_sharing,19,True,,
low,0,12345,20,fmaas,20,True,,
low,0,12345,20,no_sharing,20,True,,
low,0,12345,21,fmaas,21,True,,
low,0,12345,21,no_sharing,21,True,,
low,0,12345,22,fmaas,22,True,,
low,0,12345,22,no_sharing,22,True,,
low,0,12345,23,fmaas,23,True,,
low,0,12345,23,no_sharing,23,True,,
low,0,12345,24,fmaas,24,True,,
low,0,12345,24,no_sharing,24,True,,
low,0,12345,25,fmaas,25,True,,
low,0,12345,25,no_sharing,25,True,,
low,0,12345,26,fmaas,26,True,,
low,0,12345,26,no_sharing,26,True,,
low,0,12345,27,fmaas,27,True,,
low,0,12345,27,no_sharing,27,True,,
low,0,12345,28,fmaas,28,True,,
low,0,12345,28,no_sharing,28,True,,
low,0,12345,29,fmaas,29,True,,
low,0,12345,29,no_sharing,29,True,,
low,0,12345,30,fmaas,30,True,,
low,0,12345,30,no_sharing,30,True,,
low,0,12345,31,fmaas,31,True,,
low,0,12345,31,no_sharing,31,True,,
low,0,12345,32,fmaas,32,True,,
low,0,12345,32,no_sharing,32,True,,
low,0,12345,33,fmaas,33,True,,
low,0,12345,33,no_sharing,33,True,,
low,0,12345,34,fmaas,34,True,,
low,0,12345,34,no_sharing,34,True,,
low,0,12345,35,fmaas,35,True,,
low,0,12345,35,no_sharing,35,True,,
low,0,12345,36,fmaas,36,True,,
low,0,12345,36,no_sharing,36,True,,
low,0,12345,37,fmaas,37,True,,
low,0,12345,37,no_sharing,37,True,,
low,0,12345,38,fmaas,38,True,,
low,0,12345,38,no_sharing,38,True,,
low,0,12345,39,fmaas,39,True,,
low,0,12345,39,no_sharing,39,True,,
low,0,12345,40,fmaas,40,True,,
low,0,12345,40,no_sharing,40,True,,
low,0,12345,41,fmaas,41,True,,
low,0,12345,41,no_sharing,41,True,,
low,0,12345,42,fmaas,42,True,,
low,0,12345,42,no_sharing,42,True,,
low,0,12345,43,fmaas,43,True,,
low,0,12345,43,no_sharing,43,True,,
low,0,12345,44,fmaas,44,True,,
low,0,12345,44,no_sharing,44,True,,
low,0,12345,45,fmaas,45,True,,
low,0,12345,45,no_sharing,45,True,,
low,0,12345,46,fmaas,46,True,,
low,0,12345,46,no_sharing,46,True,,
low,0,12345,47,fmaas,47,True,,
low,0,12345,47,no_sharing,47,True,,
low,0,12345,48,fmaas,48,True,,
low,0,12345,48,no_sharing,48,True,,
low,0,12345,49,fmaas,49,True,,
low,0,12345,49,no_sharing,49,True,,
low,0,12345,50,fmaas,50,True,,
low,0,12345,50,no_sharing,50,True,,
low,0,12345,51,fmaas,51,True,,
low,0,12345,51,no_sharing,51,True,,
low,0,12345,52,fmaas,52,True,,
low,0,12345,52,no_sharing,52,True,,
low,0,12345,53,fmaas,53,True,,
low,0,12345,53,no_sharing,53,True,,
low,0,12345,54,fmaas,54,True,,
low,0,12345,54,no_sharing,54,True,,
low,0,12345,55,fmaas,55,True,,
low,0,12345,55,no_sharing,55,True,,
low,0,12345,56,fmaas,56,True,,
low,0,12345,56,no_sharing,56,True,,
low,0,12345,57,fmaas,57,True,,
low,0,12345,57,no_sharing,57,True,,
low,0,12345,58,fmaas,58,True,,
low,0,12345,58,no_sharing,58,True,,
low,0,12345,59,fmaas,59,True,,
low,0,12345,59,no_sharing,59,True,,
low,0,12345,60,fmaas,60,True,,
low,0,12345,60,no_sharing,60,True,,
low,0,12345,61,fmaas,61,True,,
low,0,12345,61,no_sharing,61,True,,
low,0,12345,62,fmaas,62,True,,
