task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,no_sharing,589,0.9983,57.483,51.577,81.218,95.219,53.708,52.287,0.002,0.785,2.514,0.0,3.775
gestureclass,no_sharing,621,1.0525,58.353,51.549,81.157,107.868,54.032,52.569,0.002,0.815,3.448,0.0,4.321
heartrate,no_sharing,593,1.0051,56.477,52.875,81.167,103.616,52.597,51.26,0.002,0.788,3.021,0.0,3.881
diasbp,no_sharing,631,1.0695,60.599,53.438,85.391,104.167,56.121,54.719,0.002,0.837,3.614,0.0,4.478
