task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
qwenA,vllm,352,2.0706,56392.938,56306.262,88784.33,90686.064,56385.098,56385.098,0.0,0.0,7.248,0.0,7.84
qwenB,vllm,2719,15.9941,57997.345,57812.022,89869.874,91010.157,57987.193,57987.193,0.0,0.0,9.776,0.0,10.152
