task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,6898,40.5765,27.021,20.519,64.127,88.341
gestureclass,no_sharing,6820,40.1176,26.524,20.474,61.284,83.39
