task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,no_sharing,5993,10.1576,33.752,26.772,61.586,81.605,28.272,27.027,0.002,0.672,4.996,0.0,5.48
gestureclass,no_sharing,5951,10.0864,34.022,27.26,61.233,83.532,28.462,27.209,0.002,0.692,5.075,0.0,5.56
