wall_time_s,queue_size,num_completed,mean_queue_delay_us,delta_queue_duration_us
10.0,0,0,0.0,0.0
15.0,0,68,101221.0,6883029.0
20.0,0,56,165.6,9271.0
25.0,0,64,147.6,9445.0
30.0,0,65,160.7,10443.0
35.0,0,63,149.3,9409.0
40.0,0,59,151.9,8960.0
45.0,0,130,10815.9,1406072.0
50.0,0,143,165.9,23720.0
55.0,0,130,168.3,21874.0
60.0,0,136,4621.2,628479.0
65.1,0,136,177.3,24108.0
70.1,0,142,479.6,68097.0
75.1,0,135,1493.0,201556.0
80.1,0,137,155.6,21311.0
85.1,0,144,154.7,22281.0
90.1,0,135,360.1,48616.0
95.1,0,137,158.9,21776.0
100.1,0,133,157.1,20900.0
105.1,0,67,189.9,12726.0
110.1,0,62,156.0,9675.0
115.1,0,65,155.1,10082.0
120.1,0,65,163.2,10606.0
125.1,0,61,149.0,9087.0
130.1,0,47,160.6,7546.0
135.1,0,0,0.0,0.0
140.1,0,0,0.0,0.0
145.1,0,0,0.0,0.0
150.1,0,0,0.0,0.0
155.1,0,0,0.0,0.0
160.1,0,0,0.0,0.0
165.1,0,0,0.0,0.0
170.1,0,0,0.0,0.0
175.1,0,0,0.0,0.0
180.1,0,0,0.0,0.0
185.1,0,0,0.0,0.0
190.1,0,0,0.0,0.0
195.1,0,0,0.0,0.0
