task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,40,1,0.0,0.3717,371.6516,371.6516,356.5783,261.0395,0.0029,95.0984,5.6481,15.0733,1775520772671892145,0
nyudepth,40,1,0.3717,0.3999,28.1618,28.1618,16.0027,15.1431,0.0027,0.5137,5.0659,12.159,1775520773042971666,0
nyudepth,40,1,0.3999,0.4285,28.6179,28.6179,16.3124,15.4432,0.0031,0.5458,5.5282,12.3055,1775520773071605634,0
nyudepth,40,1,0.4285,0.4565,28.013,28.013,16.0872,15.1737,0.0028,0.5484,5.2502,11.9258,1775520773099956968,0
nyudepth,40,1,0.4565,0.4842,27.7088,27.7088,16.4476,15.4642,0.0036,0.6528,4.3972,11.2611,1775520773127127518,0
nyudepth,40,1,0.4843,0.5121,27.8506,27.8506,16.7378,15.6257,0.0023,0.5796,4.0367,11.1128,1775520773154487142,0
nyudepth,40,1,0.5121,0.5438,31.6517,31.6517,16.6188,15.713,0.0027,0.5364,8.1246,15.0329,1775520773186436835,0
nyudepth,40,1,0.5438,0.5712,27.3762,27.3762,16.0667,15.1723,0.0027,0.5272,4.3256,11.3095,1775520773214300139,0
nyudepth,40,1,0.5712,0.5975,26.3274,26.3274,15.2438,14.315,0.0037,0.5763,4.4012,11.0836,1775520773241762835,0
nyudepth,40,1,0.5975,0.6261,28.5606,28.5606,16.4628,15.5695,0.0033,0.5829,5.3411,12.0978,1775520773269040908,0
nyudepth,40,1,0.6261,0.6532,27.1032,27.1032,15.1449,14.2214,0.0033,0.5935,4.3621,11.9583,1775520773296631876,0
nyudepth,40,1,0.6532,0.6754,22.2468,22.2468,14.101,13.3029,0.0029,0.4783,1.6663,8.1459,1775520773321068925,0
nyudepth,40,1,0.6755,0.7013,25.8656,25.8656,14.2794,13.2351,0.0023,0.7492,5.1436,11.5861,1775520773346804128,0
nyudepth,40,1,0.7013,0.7259,24.5693,24.5693,14.2183,13.4211,0.0024,0.5003,3.9015,10.351,1775520773371437270,0
nyudepth,40,1,0.7259,0.7524,26.4401,26.4401,14.8233,13.9226,0.0034,0.5713,4.297,11.6169,1775520773396412478,0
nyudepth,40,1,0.7524,0.7795,27.1823,27.1823,14.4997,13.59,0.0035,0.5811,5.512,12.6826,1775520773424078809,0
nyudepth,40,1,0.7796,0.8165,36.9124,36.9124,20.357,19.1596,0.0048,0.7588,9.6571,16.5554,1775520773455417139,0
nyudepth,40,1,0.8165,0.8484,31.9548,31.9548,20.1704,19.0049,0.005,0.7396,4.2398,11.7844,1775520773486923613,0
nyudepth,40,1,0.8484,0.8731,24.6959,24.6959,13.8679,13.0509,0.0021,0.514,4.2884,10.8279,1775520773518938276,0
nyudepth,40,1,0.8732,0.8977,24.5175,24.5175,14.0575,13.2578,0.002,0.4771,3.9425,10.46,1775520773543298233,0
nyudepth,40,1,0.8977,0.9233,25.5806,25.5806,13.7843,12.994,0.0022,0.4987,5.1746,11.7963,1775520773569057467,0
nyudepth,40,1,0.9233,0.9482,24.8876,24.8876,14.2109,13.1486,0.0021,0.7757,4.1225,10.6767,1775520773593596587,0
nyudepth,40,1,0.9482,0.974,25.8052,25.8052,13.8807,13.0634,0.0026,0.4991,5.3632,11.9245,1775520773619735528,0
nyudepth,40,1,0.974,0.9992,25.2526,25.2526,13.9157,13.1066,0.002,0.5261,4.7584,11.3369,1775520773644945941,0
nyudepth,40,1,0.9992,1.0251,25.8667,25.8667,13.9721,13.1538,0.0026,0.5075,5.4281,11.8946,1775520773670878478,0
nyudepth,40,1,1.0251,1.0496,24.4236,24.4236,13.879,13.0681,0.0025,0.5111,4.2725,10.5446,1775520773695600342,0
nyudepth,40,1,1.0496,1.0754,25.8019,25.8019,13.8733,13.0577,0.0024,0.4967,5.3144,11.9286,1775520773721076610,0
nyudepth,40,1,1.0754,1.1001,24.7595,24.7595,13.8207,13.0135,0.0024,0.5077,4.4589,10.9388,1775520773746032908,0
nyudepth,40,1,1.1001,1.1243,24.1582,24.1582,13.6755,12.8427,0.0028,0.4834,4.0264,10.4828,1775520773770370205,0
nyudepth,40,1,1.1243,1.1504,26.0446,26.0446,14.4046,13.5428,0.0025,0.5524,4.9324,11.64,1775520773795444025,0
nyudepth,40,1,1.1504,1.1765,26.1028,26.1028,14.1851,13.4078,0.0021,0.482,5.3024,11.9177,1775520773821868472,0
nyudepth,40,1,1.1765,1.201,24.5535,24.5535,14.0857,13.2193,0.0029,0.5813,4.0348,10.4678,1775520773846714038,0
nyudepth,40,1,1.201,1.2271,26.0818,26.0818,14.4507,13.6362,0.003,0.503,5.0232,11.6311,1775520773872266247,0
nyudepth,40,1,1.2271,1.2515,24.3433,24.3433,13.9244,13.1342,0.0022,0.4774,4.0112,10.4189,1775520773897346588,0
nyudepth,40,1,1.2515,1.281,29.4814,29.4814,15.8779,14.9426,0.0041,0.5835,6.8939,13.6035,1775520773924582690,0
nyudepth,40,1,1.281,1.3064,25.4681,25.4681,14.0941,13.2655,0.0026,0.484,4.6587,11.374,1775520773951840312,0
nyudepth,40,1,1.3065,1.3352,28.7514,28.7514,16.1616,15.1602,0.0049,0.6337,5.8815,12.5898,1775520773978543204,0
nyudepth,40,1,1.3352,1.3611,25.8541,25.8541,13.9991,13.17,0.0027,0.5228,5.2464,11.855,1775520774006669753,0
nyudepth,40,1,1.3611,1.3876,26.5267,26.5267,13.9228,13.125,0.0024,0.475,6.0122,12.6039,1775520774033299833,0
nyudepth,40,1,1.3876,1.4136,25.9359,25.9359,14.3819,13.5994,0.0031,0.4863,4.9844,11.554,1775520774058808612,0
nyudepth,40,1,1.4136,1.4394,25.8248,25.8248,14.1302,13.3503,0.0024,0.4804,5.1937,11.6946,1775520774084964303,0
nyudepth,40,1,1.4394,1.4639,24.4992,24.4992,13.8279,13.0551,0.0024,0.4877,4.1931,10.6712,1775520774109799049,0
nyudepth,40,1,1.4639,1.4889,24.9689,24.9689,14.2793,13.1034,0.0028,0.5089,4.1699,10.6896,1775520774134286318,0
nyudepth,40,1,1.4889,1.5134,24.4679,24.4679,13.6533,12.8402,0.0025,0.4799,4.2696,10.8147,1775520774159364999,0
nyudepth,40,1,1.5134,1.5398,26.3963,26.3963,14.0445,13.2581,0.0025,0.4753,5.7065,12.3518,1775520774185280026,0
nyudepth,40,1,1.5398,1.5644,24.6232,24.6232,13.9815,13.2071,0.0024,0.4794,4.1757,10.6416,1775520774210156072,0
nyudepth,40,1,1.5644,1.5889,24.461,24.461,13.9813,13.1291,0.0026,0.5204,3.8476,10.4797,1775520774234461788,0
nyudepth,40,1,1.5889,1.6135,24.6186,24.6186,13.8394,13.0687,0.0027,0.4749,4.3349,10.7792,1775520774259421566,0
nyudepth,40,1,1.6135,1.639,25.5213,25.5213,13.7775,12.9845,0.0021,0.4996,5.2636,11.7438,1775520774284978826,0
nyudepth,40,1,1.639,1.6648,25.7151,25.7151,13.9168,13.1317,0.0026,0.4684,5.0559,11.7983,1775520774310302611,0
nyudepth,40,1,1.6648,1.6893,24.56,24.56,13.9912,13.162,0.0019,0.4806,4.0932,10.5688,1775520774335066676,0
nyudepth,40,1,1.6893,1.7152,25.8243,25.8243,13.891,13.0823,0.0024,0.5192,5.3661,11.9333,1775520774360909971,0
