backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory(MB),Change1 (MB),decoder memory(MB),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),Change2 (MB),inference mem peak(MB),inference energy(mJ)
momentlarge,mlp,,,PPG-data,A16,diasbp,mae,10.127585713456316,1461.95456,1462.480384,0.525824,121734.7813,2613.989888,43894.734,179.03122655356802,1504.477571121951,41.99718712,10.923268292682927
momentbase,mlp,,,PPG-data,A16,diasbp,mae,10.489695479230184,467.901952,468.296704,0.394752,36996.02344,1311.500288,14042.174,51.357144704679165,493.4783001,25.1815961,3.410268292682927
momentsmall,mlp,,,PPG-data,A16,diasbp,mae,10.011062342946122,161.092608,161.356288,0.26368,10243.28027,625.839616,3517.97,14.83115319507878,174.6595090731707,13.30322107,1.0021463414634146
chronostiny,mlp,,,PPG-data,A16,diasbp,mae,9.706709327,25.309184,25.441792,0.132608,6012.978027,1399.789056,1384.4,14.011253915181975,68.80046204878049,43.35867005,0.8046341463414634
chronosmini,mlp,,,PPG-data,A16,diasbp,mae,10.346121439119665,50.142208,50.340352,0.198144,11863.06738,2751.832064,2823.319,16.57249962411276,134.4946575609756,84.15430556,0.8954390243902439
chronossmall,mlp,,,PPG-data,A16,diasbp,mae,10.41240152498571,101.56544,101.82912,0.26368,18751.78711,2841.2416,4639.92,25.770813732612424,188.08107707317072,86.25195707,1.5190975609756097
chronosbase,mlp,,,PPG-data,A16,diasbp,mae,10.019732219416921,429.407232,429.801984,0.394752,46370.27344,4530.082304,14041.017,80.07124291396723,558.2043161,128.4023321,4.623317073170732
chronoslarge,mlp,,,PPG-data,A16,diasbp,mae,10.215684099895197,1427.183616,1427.70944,0.525824,115069.7656,6894.023168,39407.608,238.95218304889957,1599.273347121951,171.5639071,13.985073170731708
papageis,mlp,,,PPG-data,A16,diasbp,mae,29.18090336497237,33.204224,33.467904,0.26368,3916.729248046875,641.048576,551.577,42.57519754549352,70.05768429268294,36.58978029,1.192560975609756
papageip,mlp,,,PPG-data,A16,diasbp,mae,32.601936852059715,30.029824,30.293504,0.26368,3485.112305,637.874176,503.384,5.5980909277753135,66.88328429268293,36.58978029,0.3732682926829268
papageissvri,mlp,,,PPG-data,A16,diasbp,mae,24.762131016428878,30.029824,30.293504,0.26368,3500.937255859375,637.874176,508.916,5.580576001144037,66.88328429268293,36.58978029,0.3073170731707317
