wall_time_s,queue_size,num_completed,mean_queue_delay_us,delta_queue_duration_us
10.0,0,0,0.0,0.0
15.0,0,60,47620.6,2857233.0
20.0,0,56,168.3,9426.0
25.0,0,65,1194.6,77648.0
30.0,0,63,174.7,11003.0
35.0,0,63,171.3,10794.0
40.0,0,60,163.4,9803.0
45.0,0,117,5490.5,642385.0
50.0,0,144,3759.1,541306.0
55.0,0,130,4009.2,521201.0
60.1,0,137,4594.8,629481.0
65.1,0,137,4346.1,595418.0
70.1,0,141,3927.8,553820.0
75.1,0,136,3701.3,503373.0
80.1,0,138,4307.2,594396.0
85.1,0,142,5015.3,712179.0
90.1,0,134,4266.2,571672.0
95.1,0,140,4317.0,604381.0
100.1,0,135,3939.8,531879.0
105.1,0,73,815.4,59523.0
110.1,0,63,176.9,11142.0
115.1,0,65,193.1,12553.0
120.1,0,64,181.0,11582.0
125.1,0,60,175.5,10529.0
130.1,0,57,187.9,10713.0
135.1,0,0,0.0,0.0
140.1,0,0,0.0,0.0
145.1,0,0,0.0,0.0
