task,n_requests,throughput_rps,avg_latency_ms
weatherfore,227,3.783333333333333,264.97701802167893
gestureclass,227,3.783333333333333,264.9831508362198
trafficfore,227,3.783333333333333,264.97752317494104
exchangefore,227,3.783333333333333,264.9783507801822
eclfore,227,3.783333333333333,264.98173658699125
diasbp,227,3.783333333333333,264.98318413202753
ecgclass,227,3.783333333333333,264.98478319134875
sysbp,227,3.783333333333333,264.983964019295
etth1fore,227,3.783333333333333,264.9820420269481
heartrate,227,3.783333333333333,264.9832433192183
