task,device_url,n_requests,throughput_rps,avg_latency_ms
heartrate,10.100.31.64:8000,189,3.15,318.05932584893765
diasbp,10.100.31.64:8000,189,3.15,318.0927385098089
sysbp,10.100.31.64:8000,189,3.15,318.07797800296197
gestureclass,10.100.31.64:8000,190,3.1666666666666665,317.1971923426578
weatherfore,10.100.31.64:8000,190,3.1666666666666665,317.15565104233593
ecgclass,10.100.31.64:8000,190,3.1666666666666665,317.214876727054
etth1fore,10.100.31.64:8000,190,3.1666666666666665,317.20601257524993
eclfore,10.100.31.64:8000,190,3.1666666666666665,317.24159717559814
exchangefore,10.100.31.64:8000,190,3.1666666666666665,317.22609996795654
trafficfore,10.100.31.64:8000,190,3.1666666666666665,317.1864108035439
