task,slot,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,slot_0:ecgclass,no_sharing_tpc,589,0.9983,32.944,32.606,36.638,55.414,25.87,24.859,0.002,0.585,6.569,7.074
gestureclass,slot_1:gestureclass,no_sharing_tpc,617,1.0458,33.861,33.149,38.684,68.694,26.052,25.048,0.002,0.583,7.316,7.809
