task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,1,1,0.0001,22.3299,22329.8275,22329.8275,22313.8707,20796.0076,0.0031,1517.2728,6.9821,15.9569,1775521411709242236,0
nyudepth,1,1,22.3299,22.3578,27.8802,27.8802,16.2018,15.004,0.0029,0.7993,5.049,11.6784,1775521434037150290,0
nyudepth,1,1,22.3578,22.969,611.2299,611.2299,599.8003,598.6153,0.0036,0.7834,4.6458,11.4296,1775521434064640305,0
nyudepth,1,1,22.969,23.5808,611.7394,611.7394,600.0379,598.8835,0.0031,0.7344,5.0581,11.7015,1775521434676296699,0
nyudepth,1,1,23.5808,24.1926,611.8515,611.8515,600.301,599.1665,0.0026,0.7449,4.993,11.5505,1775521435287982992,0
nyudepth,1,1,24.1927,24.8048,612.185,612.185,600.8439,599.4843,0.0026,0.7224,4.8003,11.3411,1775521435899654042,0
nyudepth,1,1,24.8049,25.417,612.1945,612.1945,600.3334,599.1031,0.0029,0.8206,5.2378,11.8612,1775521436512288919,0
nyudepth,1,1,25.4171,26.0293,612.2143,612.2143,599.2651,598.0645,0.0025,0.7734,6.2621,12.9492,1775521437125521351,0
nyudepth,1,1,26.0293,26.6415,612.2606,612.2606,600.6178,599.3939,0.0029,0.7938,5.0042,11.6428,1775521437736491355,0
nyudepth,1,1,26.6416,27.2545,612.9115,612.9115,601.1965,599.9991,0.003,0.7734,4.8311,11.715,1775521438348592470,0
nyudepth,1,1,27.2545,27.866,611.5174,611.5174,599.9713,598.8168,0.0029,0.748,4.9956,11.5461,1775521438961681622,0
nyudepth,1,1,27.866,28.4779,611.8488,611.8488,600.2971,599.1764,0.003,0.7231,4.9531,11.5517,1775521439573170282,0
nyudepth,1,1,28.4779,29.0902,612.349,612.349,601.0329,599.6237,0.0027,1.042,4.8258,11.3162,1775521440184903375,0
nyudepth,1,1,29.0902,29.7021,611.8751,611.8751,600.111,598.9803,0.0025,0.7343,5.1019,11.7641,1775521440797540799,0
