req_id,req_time,site_manager,device,backbone,task,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
0,0.005784301423726017,site2,site2,chronostiny,ecgclass,370.0518608093262,334.75327491760254,0.029087066650390625,0.0,0.0
1,0.008935829687349217,site2,site2,chronostiny,gestureclass,8.484363555908203,4.904508590698242,0.0059604644775390625,4.0,4.0
2,0.009222423033244564,site2,site2,chronostiny,gestureclass,6.734609603881836,4.034519195556641,0.0019073486328125,4.0,4.0
3,0.021758807107333928,site2,site2,chronostiny,gestureclass,6.205320358276367,3.8945674896240234,0.001430511474609375,4.0,4.0
4,0.04140188992729961,site2,site2,chronostiny,ecgclass,6.227970123291016,3.8895606994628906,0.0035762786865234375,0.0,0.0
5,0.04422164567063162,site2,site2,chronostiny,ecgclass,6.584882736206055,3.9167404174804688,0.0019073486328125,0.0,0.0
6,0.048976843461128336,site2,site2,chronostiny,ecgclass,6.216287612915039,3.9086341857910156,0.0019073486328125,0.0,0.0
7,0.051968743986212616,site2,site2,chronostiny,gestureclass,6.609916687011719,3.919363021850586,0.003814697265625,4.0,4.0
8,0.05391089648984467,site2,site2,chronostiny,gestureclass,6.544828414916992,3.9191246032714844,0.0016689300537109375,4.0,4.0
9,0.054313253949099465,site2,site2,chronostiny,gestureclass,6.1588287353515625,3.890514373779297,0.0016689300537109375,4.0,4.0
10,0.05735790667052102,site2,site2,chronostiny,ecgclass,6.285190582275391,3.8993358612060547,0.0035762786865234375,0.0,0.0
11,0.06588722554230758,site2,site2,chronostiny,gestureclass,6.583452224731445,3.9429664611816406,0.003814697265625,4.0,4.0
12,0.0659731163649233,site2,site2,chronostiny,gestureclass,6.34002685546875,3.9484500885009766,0.0019073486328125,4.0,4.0
13,0.0703357738394712,site2,site2,chronostiny,ecgclass,6.226062774658203,3.8650035858154297,0.0035762786865234375,0.0,0.0
14,0.08096936666211828,site2,site2,chronostiny,ecgclass,6.138086318969727,3.83758544921875,0.001430511474609375,0.0,0.0
15,0.08219598930167087,site2,site2,chronostiny,ecgclass,5.985260009765625,3.8187503814697266,0.001430511474609375,0.0,0.0
16,0.0832081363469006,site2,site2,chronostiny,ecgclass,6.373882293701172,3.942251205444336,0.001430511474609375,0.0,0.0
17,0.09060625463319519,site2,site2,chronostiny,gestureclass,6.40869140625,3.9687156677246094,0.003814697265625,4.0,4.0
18,0.09207869004448546,site2,site2,chronostiny,ecgclass,6.258964538574219,3.8759708404541016,0.0035762786865234375,0.0,0.0
19,0.09314455879353453,site2,site2,chronostiny,ecgclass,6.2255859375,3.9069652557373047,0.001430511474609375,0.0,0.0
20,0.09551854831528084,site2,site2,chronostiny,gestureclass,6.180763244628906,3.9072036743164062,0.0030994415283203125,4.0,4.0
21,0.09801058039604023,site2,site2,chronostiny,ecgclass,6.18743896484375,3.894805908203125,0.003337860107421875,0.0,0.0
22,0.10837195930258002,site2,site2,chronostiny,ecgclass,6.141424179077148,3.8290023803710938,0.0011920928955078125,0.0,0.0
23,0.11318944063287516,site2,site2,chronostiny,ecgclass,6.317615509033203,3.953218460083008,0.0019073486328125,0.0,0.0
24,0.11579349599991245,site2,site2,chronostiny,ecgclass,6.257772445678711,3.8809776306152344,0.0016689300537109375,0.0,0.0
25,0.11961550866489899,site2,site2,chronostiny,gestureclass,6.258964538574219,3.881692886352539,0.0030994415283203125,4.0,4.0
26,0.13500730051833562,site2,site2,chronostiny,ecgclass,6.308555603027344,3.9620399475097656,0.0035762786865234375,0.0,0.0
27,0.1356080622756144,site2,site2,chronostiny,gestureclass,6.157398223876953,3.853321075439453,0.00286102294921875,4.0,4.0
28,0.13677223608521116,site2,site2,chronostiny,gestureclass,6.100654602050781,3.843545913696289,0.0016689300537109375,4.0,4.0
29,0.15319313682587213,site2,site2,chronostiny,ecgclass,6.117105484008789,3.876924514770508,0.003337860107421875,0.0,0.0
30,0.16896382913015978,site2,site2,chronostiny,gestureclass,6.41179084777832,3.8864612579345703,0.003337860107421875,4.0,4.0
31,0.16993882961215695,site2,site2,chronostiny,ecgclass,6.3648223876953125,3.9598941802978516,0.003337860107421875,0.0,0.0
32,0.17072273506034025,site2,site2,chronostiny,ecgclass,6.154537200927734,3.8709640502929688,0.001430511474609375,0.0,0.0
33,0.17345573430571218,site2,site2,chronostiny,gestureclass,6.475210189819336,4.009485244750977,0.0035762786865234375,4.0,4.0
34,0.1737107183263219,site2,site2,chronostiny,gestureclass,6.314277648925781,3.8645267486572266,0.0019073486328125,4.0,4.0
35,0.17903037474867886,site2,site2,chronostiny,gestureclass,6.200313568115234,3.9148330688476562,0.001430511474609375,4.0,4.0
36,0.17943369270125364,site2,site2,chronostiny,ecgclass,6.172657012939453,3.8759708404541016,0.003337860107421875,0.0,0.0
37,0.1797325999820946,site2,site2,chronostiny,ecgclass,6.140947341918945,3.9086341857910156,0.0011920928955078125,0.0,0.0
38,0.18305235711780687,site2,site2,chronostiny,gestureclass,6.205320358276367,3.8602352142333984,0.0030994415283203125,4.0,4.0
39,0.19887744925889306,site2,site2,chronostiny,ecgclass,6.345272064208984,3.859996795654297,0.003337860107421875,0.0,0.0
40,0.2016600167246056,site2,site2,chronostiny,ecgclass,6.5822601318359375,3.979921340942383,0.0019073486328125,0.0,0.0
41,0.20386403658912464,site2,site2,chronostiny,ecgclass,6.571292877197266,3.966093063354492,0.0016689300537109375,0.0,0.0
42,0.23483002017894733,site2,site2,chronostiny,ecgclass,6.306886672973633,3.8955211639404297,0.001430511474609375,0.0,0.0
43,0.23862612348965917,site2,site2,chronostiny,gestureclass,6.432056427001953,3.9870738983154297,0.0035762786865234375,4.0,4.0
44,0.24097807326408055,site2,site2,chronostiny,ecgclass,6.4945220947265625,3.9305686950683594,0.003814697265625,0.0,0.0
45,0.24341574170486152,site2,site2,chronostiny,gestureclass,6.591081619262695,3.9234161376953125,0.003814697265625,4.0,4.0
46,0.2445000551415767,site2,site2,chronostiny,ecgclass,6.282329559326172,3.9587020874023438,0.003337860107421875,0.0,0.0
47,0.24808954045436485,site2,site2,chronostiny,gestureclass,6.215095520019531,3.9110183715820312,0.0035762786865234375,4.0,4.0
48,0.2509784204045173,site2,site2,chronostiny,gestureclass,6.431818008422852,3.925323486328125,0.001430511474609375,4.0,4.0
49,0.2525574243333661,site2,site2,chronostiny,ecgclass,6.6699981689453125,4.023313522338867,0.003814697265625,0.0,0.0
50,0.2534324071042288,site2,site2,chronostiny,gestureclass,6.519317626953125,3.9763450622558594,0.003814697265625,4.0,4.0
51,0.25529671088923583,site2,site2,chronostiny,gestureclass,6.338596343994141,3.9327144622802734,0.0016689300537109375,4.0,4.0
52,0.2588500429156764,site2,site2,chronostiny,gestureclass,6.345987319946289,3.986835479736328,0.0016689300537109375,4.0,4.0
53,0.2591505622118735,site2,site2,chronostiny,gestureclass,6.342411041259766,3.916501998901367,0.0019073486328125,4.0,4.0
54,0.25998522920414524,site2,site2,chronostiny,gestureclass,6.633996963500977,4.028558731079102,0.0016689300537109375,4.0,4.0
