task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,197,19.7,28.769,22.702,55.164,63.019
gestureclass,no_sharing,197,19.7,28.063,22.454,57.151,64.984
