task,device,t_center,count,throughput_rps,p50_ms,p99_ms
exchangefore,172.31.40.38:8000,0.5,6,6.0,27.45497226715088,120.63294649124146
exchangefore,172.31.40.38:8000,1.5,6,6.0,24.51896667480469,32.79939889907837
exchangefore,172.31.40.38:8000,2.5,4,4.0,24.08289909362793,24.234251976013184
exchangefore,172.31.40.38:8000,3.5,2,2.0,33.2103967666626,41.651127338409424
exchangefore,172.31.40.38:8000,4.5,5,5.0,39.97182846069336,57.48420715332031
exchangefore,172.31.40.38:8000,5.5,3,3.0,26.57318115234375,39.14052486419678
exchangefore,172.31.40.38:8000,6.5,8,8.0,24.21104907989502,27.1302342414856
exchangefore,172.31.40.38:8000,7.5,6,6.0,24.55759048461914,30.63197135925293
exchangefore,172.31.40.38:8000,8.5,1,1.0,25.22873878479004,25.22873878479004
exchangefore,172.31.40.38:8000,9.5,5,5.0,24.22165870666504,25.87456703186035
exchangefore,172.31.40.38:8000,10.5,6,6.0,24.2767333984375,34.01932716369629
exchangefore,172.31.40.38:8000,11.5,3,3.0,24.472713470458984,24.72365379333496
exchangefore,172.31.40.38:8000,12.5,9,9.0,24.764299392700195,33.06893348693848
exchangefore,172.31.40.38:8000,13.5,8,8.0,25.1467227935791,46.2265920639038
exchangefore,172.31.40.38:8000,14.5,2,2.0,32.5092077255249,39.541728496551514
exchangefore,172.31.40.38:8000,15.5,4,4.0,26.19147300720215,43.52206230163573
exchangefore,172.31.40.38:8000,16.5,10,10.0,24.42026138305664,42.00559616088867
exchangefore,172.31.40.38:8000,17.5,3,3.0,24.087905883789062,24.10940170288086
exchangefore,172.31.40.38:8000,18.5,13,13.0,26.81279182434082,50.65698623657227
exchangefore,172.31.40.38:8000,19.5,7,7.0,24.17159080505371,30.906839370727536
exchangefore,172.31.40.38:8000,20.5,15,15.0,24.629831314086918,45.34865856170654
exchangefore,172.31.40.38:8000,21.5,11,11.0,24.693965911865234,35.2447509765625
exchangefore,172.31.40.38:8000,22.5,5,5.0,24.677038192749023,25.938644409179688
exchangefore,172.31.40.38:8000,23.5,11,11.0,24.419307708740234,39.89121913909912
exchangefore,172.31.40.38:8000,24.5,6,6.0,24.22499656677246,26.084613800048828
exchangefore,172.31.40.38:8000,25.5,2,2.0,33.091068267822266,40.49591064453124
exchangefore,172.31.40.38:8000,26.5,4,4.0,24.252891540527344,24.972591400146488
exchangefore,172.31.40.38:8000,27.5,7,7.0,24.326801300048828,45.99518775939942
exchangefore,172.31.40.38:8000,28.5,3,3.0,24.346590042114254,42.18648433685303
exchangefore,172.31.40.38:8000,29.5,4,4.0,28.660178184509277,42.95389413833618
exchangefore,172.31.40.38:8000,30.5,7,7.0,53.724050521850586,85.60614109039305
exchangefore,172.31.40.38:8000,31.5,3,3.0,24.79219436645508,48.32217216491699
exchangefore,172.31.40.38:8000,32.5,5,5.0,41.52035713195801,45.33273696899414
