req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,device_end_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),pred,true
0,0.0,site2,10.100.20.50:8000,momentbase,ecgclass,1772391779.6775227,1772391779.6994464,1772391779.8904626,216.1266803741455,180.60257900000002,0.002023,10.349827000000001,0.0,0.0
1,0.10002083767451553,site2,10.100.20.50:8000,momentbase,ecgclass,1772391779.7759736,1772391779.8941824,1772391779.9038973,129.35924530029297,7.004824,0.001012,2.687479,0.0,0.0
2,0.20004167534903106,site2,10.100.20.50:8000,momentbase,ecgclass,1772391779.8753648,1772391779.9056633,1772391779.914735,40.79866409301758,6.150601,0.0008810000000000001,2.902704,0.0,0.0
3,0.3000625130235466,site2,10.100.20.50:8000,momentbase,ecgclass,1772391779.9753394,1772391779.976939,1772391779.986484,12.874603271484375,6.7448,0.0011719999999999999,2.7772550000000003,0.0,0.0
4,0.4000833506980621,site2,10.100.20.50:8000,momentbase,ecgclass,1772391780.075424,1772391780.0773392,1772391780.087031,13.345479965209961,6.969671,0.001342,2.694699,0.0,0.0
5,0.5001041883725776,site2,10.100.20.50:8000,momentbase,ecgclass,1772391780.1758337,1772391780.1778107,1772391780.1874642,13.459205627441406,6.954518,0.0012920000000000002,2.673928,0.0,0.0
6,0.6001250260470932,site2,10.100.20.50:8000,momentbase,ecgclass,1772391780.275459,1772391780.2772417,1772391780.2869215,13.218879699707031,6.920657,0.0014219999999999999,2.7349010000000002,0.0,0.0
7,0.7001458637216087,site2,10.100.20.50:8000,momentbase,ecgclass,1772391780.3754706,1772391780.377333,1772391780.3870828,13.377904891967773,6.9235310000000005,0.001512,2.8014200000000002,0.0,0.0
8,0.8001667013961242,site2,10.100.20.50:8000,momentbase,ecgclass,1772391780.4756565,1772391780.477532,1772391780.4872177,13.353586196899414,6.926366,0.0013620000000000001,2.734589,0.0,0.0
9,0.9001875390706396,site2,10.100.20.50:8000,momentbase,ecgclass,1772391780.5756676,1772391780.577734,1772391780.5873897,13.526439666748047,7.154621,0.001091,2.475597,0.0,0.0
10,1.0002083767451553,site2,10.100.20.50:8000,momentbase,ecgclass,1772391780.675964,1772391780.6779706,1772391780.6876104,13.495445251464844,6.901127,0.001312,2.7136880000000003,0.0,0.0
11,1.1002292144196708,site2,10.100.20.50:8000,momentbase,ecgclass,1772391780.7757049,1772391780.7781253,1772391780.7877936,13.892650604248047,6.886184,0.0012720000000000001,2.756753,0.0,0.0
12,1.2002500520941863,site2,10.100.20.50:8000,momentbase,ecgclass,1772391780.8761644,1772391780.8780468,1772391780.8877072,13.300657272338867,6.891112,0.001051,2.7443440000000003,0.0,0.0
13,1.3002708897687016,site2,10.100.20.50:8000,momentbase,ecgclass,1772391780.9755893,1772391780.9777377,1772391780.9874003,13.578414916992188,6.930561,0.001492,2.705866,0.0,0.0
14,1.4002917274432174,site2,10.100.20.50:8000,momentbase,ecgclass,1772391781.0759835,1772391781.077797,1772391781.0874965,13.446569442749023,6.921258,0.0012920000000000002,2.751415,0.0,0.0
15,1.500312565117733,site2,10.100.20.50:8000,momentbase,ecgclass,1772391781.1756735,1772391781.177491,1772391781.1871521,13.180255889892578,6.913886,0.001312,2.720958,0.0,0.0
16,1.6003334027922484,site2,10.100.20.50:8000,momentbase,ecgclass,1772391781.2755,1772391781.2772293,1772391781.286901,13.059377670288086,6.929861,0.001161,2.7171529999999997,0.0,0.0
17,1.700354240466764,site2,10.100.20.50:8000,momentbase,ecgclass,1772391781.375519,1772391781.3772686,1772391781.3869238,13.065814971923828,6.933616,0.001492,2.6969429999999996,0.0,0.0
18,1.8003750781412793,site2,10.100.20.50:8000,momentbase,ecgclass,1772391781.4759526,1772391781.477787,1772391781.4874594,13.199806213378906,6.8937859999999995,0.001342,2.753448,0.0,0.0
19,1.9003959158157948,site2,10.100.20.50:8000,momentbase,ecgclass,1772391781.5756102,1772391781.5774226,1772391781.5870783,13.155937194824219,6.918743,0.001182,2.711915,0.0,0.0
20,2.0004167534903106,site2,10.100.20.50:8000,momentbase,ecgclass,1772391781.6762116,1772391781.6780488,1772391781.6877284,13.251543045043945,7.125748000000001,0.001392,2.5283469999999997,0.0,0.0
21,2.100437591164826,site2,10.100.20.50:8000,momentbase,ecgclass,1772391781.7756512,1772391781.7774222,1772391781.787052,13.007640838623047,6.921779,0.001102,2.6838230000000003,0.0,0.0
22,2.2004584288393416,site2,10.100.20.50:8000,momentbase,ecgclass,1772391781.8758209,1772391781.877643,1772391781.8872957,13.45372200012207,6.915018,0.001492,2.713988,0.0,0.0
23,2.3004792665138574,site2,10.100.20.50:8000,momentbase,ecgclass,1772391781.975901,1772391781.9777617,1772391781.9874156,13.372659683227539,6.937081,0.001062,2.6936080000000002,0.0,0.0
24,2.4005001041883727,site2,10.100.20.50:8000,momentbase,ecgclass,1772391782.0757766,1772391782.077517,1772391782.087186,13.088226318359375,6.943281,0.001222,2.702451,0.0,0.0
25,2.500520941862888,site2,10.100.20.50:8000,momentbase,ecgclass,1772391782.1762493,1772391782.177991,1772391782.1877043,13.222455978393555,6.93604,0.0012920000000000002,2.750764,0.0,0.0
26,2.6005417795374033,site2,10.100.20.50:8000,momentbase,ecgclass,1772391782.2759836,1772391782.27777,1772391782.2874348,13.287544250488281,6.903541,0.001342,2.7366930000000003,0.0,0.0
27,2.700562617211919,site2,10.100.20.50:8000,momentbase,ecgclass,1772391782.3757327,1772391782.3775117,1772391782.3871868,13.144493103027344,6.894337,0.001383,2.755842,0.0,0.0
