task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms
nyudepth,single_nyudepth,0.0,246.5582,237.9325,181.5513,0.0024,56.0749,1.9763,8.6257
nyudepth,single_nyudepth,0.3007,33.8116,27.5838,4.7623,0.0012,22.631,1.5647,6.2277
nyudepth,single_nyudepth,0.5939,33.3319,27.4925,4.0063,0.0015,23.2873,1.7335,5.8393
nyudepth,single_nyudepth,0.8916,33.591,27.5081,3.9582,0.0012,23.347,1.6162,6.083
nyudepth,single_nyudepth,0.9262,32.974,27.7635,3.5243,0.0007,24.0926,0.8297,5.2105
nyudepth,single_nyudepth,0.9368,52.6624,28.1196,3.4833,0.0012,24.3312,20.2005,24.5427
nyudepth,single_nyudepth,1.1187,33.5693,27.5557,4.0048,0.0013,23.3495,1.4482,6.0136
nyudepth,single_nyudepth,1.2955,33.6118,27.5324,4.0077,0.0011,23.3191,1.6396,6.0794
nyudepth,single_nyudepth,1.6856,33.3452,27.5342,4.0083,0.0012,23.3181,1.6723,5.811
nyudepth,single_nyudepth,1.697,51.1277,27.24,3.4916,0.001,23.5914,19.876,23.8877
nyudepth,single_nyudepth,1.8263,33.1745,27.6386,4.0373,0.0016,23.3994,1.4231,5.5359
nyudepth,single_nyudepth,1.8351,53.6816,27.318,3.5395,0.0013,23.644,22.1491,26.3636
nyudepth,single_nyudepth,1.9709,33.8194,27.6523,4.0412,0.0013,23.413,1.3771,6.1671
nyudepth,single_nyudepth,2.188,33.0455,27.5489,4.0218,0.0012,23.3145,1.3642,5.4967
nyudepth,single_nyudepth,2.2361,32.3594,27.3513,3.7001,0.001,23.4886,0.9453,5.0081
nyudepth,single_nyudepth,2.3897,34.1094,27.5169,3.9928,0.0012,23.3154,1.3633,6.5924
nyudepth,single_nyudepth,2.4094,42.9296,27.3265,4.5884,0.0006,22.5829,11.112,15.6031
nyudepth,single_nyudepth,2.42,63.3991,28.8189,3.5165,0.0012,25.1553,30.1881,34.5802
nyudepth,single_nyudepth,2.4594,55.4609,28.711,3.5265,0.0008,25.0308,21.7915,26.75
nyudepth,single_nyudepth,2.572,33.5088,27.6881,3.9932,0.0014,23.4977,1.7548,5.8207
nyudepth,single_nyudepth,2.6247,32.9082,27.8031,3.6973,0.0012,23.9533,0.9758,5.1051
nyudepth,single_nyudepth,2.7798,32.9881,27.5123,3.9824,0.0016,23.3432,1.379,5.4758
nyudepth,single_nyudepth,2.8085,34.3857,27.9817,3.4563,0.001,24.3875,2.2984,6.404
nyudepth,single_nyudepth,3.0382,33.072,27.5012,3.994,0.0013,23.3116,1.4143,5.5708
nyudepth,single_nyudepth,3.1914,33.0374,27.5806,4.0034,0.0015,23.3785,1.3754,5.4568
nyudepth,single_nyudepth,3.2736,32.8295,27.5208,3.9912,0.0012,23.3344,1.2205,5.3087
nyudepth,single_nyudepth,3.3255,33.4792,27.737,3.6504,0.0012,23.9163,0.9968,5.7422
nyudepth,single_nyudepth,3.3821,33.5572,27.4056,3.7172,0.0013,23.5013,1.7047,6.1516
nyudepth,single_nyudepth,3.3914,53.7415,27.8166,4.176,0.001,23.4785,21.5738,25.9248
nyudepth,single_nyudepth,3.4157,60.2198,28.529,3.765,0.0009,24.5772,27.5071,31.6908
nyudepth,single_nyudepth,3.5,33.7527,27.9699,3.7792,0.0013,24.0143,1.6952,5.7828
nyudepth,single_nyudepth,3.5478,32.7582,27.6372,3.6297,0.0016,23.8607,1.0781,5.121
nyudepth,single_nyudepth,3.7068,33.6709,27.8866,4.3486,0.0013,23.3603,1.5275,5.7843
nyudepth,single_nyudepth,3.7946,33.0861,27.4796,3.9467,0.0013,23.3394,1.3981,5.6064
nyudepth,single_nyudepth,3.8243,33.7937,28.3105,3.4683,0.0011,24.6831,1.4012,5.4832
nyudepth,single_nyudepth,3.8822,33.005,27.773,3.7501,0.0012,23.8445,1.0912,5.232
nyudepth,single_nyudepth,3.9623,32.9974,27.528,3.9922,0.0016,23.337,1.282,5.4694
nyudepth,single_nyudepth,4.0054,32.599,27.4983,3.6631,0.0012,23.667,0.967,5.1007
nyudepth,single_nyudepth,4.0461,32.697,27.5627,3.6369,0.0012,23.7652,0.9596,5.1343
nyudepth,single_nyudepth,4.1559,33.1137,27.5074,3.9997,0.0014,23.2995,1.4379,5.6063
nyudepth,single_nyudepth,4.1921,32.8391,27.9426,3.48,0.001,24.3029,0.802,4.8964
nyudepth,single_nyudepth,4.3602,33.2937,27.5869,3.9623,0.0012,23.4309,1.523,5.7068
nyudepth,single_nyudepth,4.5337,33.0787,27.4889,4.0021,0.0013,22.958,1.4105,5.5898
nyudepth,single_nyudepth,4.669,33.1209,27.4965,3.9777,0.0014,23.3127,1.4768,5.6244
nyudepth,single_nyudepth,4.6777,53.6997,27.2751,3.5016,0.0009,23.6226,22.1338,26.4246
nyudepth,single_nyudepth,4.8196,33.3788,27.5173,3.9901,0.0015,23.3214,1.4994,5.8616
nyudepth,single_nyudepth,4.9892,33.4144,27.486,3.9939,0.0013,23.2894,1.4653,5.9283
nyudepth,single_nyudepth,5.1288,33.2563,27.5096,4.0021,0.0017,23.2988,1.4644,5.7467
nyudepth,single_nyudepth,5.1641,32.4018,27.3113,3.5148,0.0012,23.643,0.9065,5.0905
nyudepth,single_nyudepth,5.2046,32.8701,27.8074,3.5622,0.0009,24.081,0.9766,5.0627
nyudepth,single_nyudepth,5.2251,42.4571,27.9218,3.5599,0.001,24.2066,10.2997,14.5353
nyudepth,single_nyudepth,5.2696,34.0681,28.9436,3.8329,0.0009,24.9454,0.9906,5.1245
nyudepth,single_nyudepth,5.2722,145.9317,111.4438,14.3644,0.001,48.2861,29.7706,34.4879
nyudepth,single_nyudepth,5.2926,128.3946,111.4438,14.3644,0.001,48.2861,9.3291,16.9508
nyudepth,single_nyudepth,5.4581,34.1911,27.7664,4.7338,0.0012,22.8454,2.219,6.4247
nyudepth,single_nyudepth,5.9569,33.0822,27.5065,3.9618,0.0013,23.3316,1.4007,5.5757
nyudepth,single_nyudepth,6.0271,33.0002,27.5117,3.8382,0.0012,23.4802,1.2782,5.4885
