task,n_requests,throughput_rps,avg_latency_ms
trafficfore,903,15.05,66.50225927120906
diasbp,903,15.05,66.50341125019513
heartrate,903,15.05,66.5035054171695
eclfore,903,15.05,66.50331922974912
gestureclass,903,15.05,66.50373860466544
weatherfore,903,15.05,66.50257140247446
sysbp,903,15.05,66.50383582731641
exchangefore,903,15.05,66.50291743651157
etth1fore,903,15.05,66.50341366075293
ecgclass,903,15.05,66.50437825206762
