task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,23258,80.2,26.462,25.023,42.908,52.726
gestureclass,no_sharing,23022,79.3862,119.254,24.636,45.324,4248.005
