task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,4114,24.2,94633.117,95960.161,154540.002,172938.414,24.478,22.963,0.002,0.553,94607.905,0.0,94608.639
gestureclass,fifo,10170,59.8235,95889.394,100791.115,172349.502,175818.159,24.406,22.943,0.002,0.55,95864.172,0.0,95864.988
