task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth,no_sharing_tpc,2321,3.9339,56.496,42.63,104.41,153.294,46.228,44.727,0.002,0.823,7.211,0.0,10.268
vocseg,no_sharing_tpc,2370,4.0169,56.637,42.636,104.594,157.62,46.37,44.721,0.002,1.0,7.21,0.0,10.267
