task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,sharing,197,19.7,34.265,33.756,53.429,58.448
gestureclass,sharing,197,19.7,33.627,33.233,52.983,55.969
